vertices,Edges,pathlength,time taken,iteration
10,90.0,3.0,69.2,1.45
20,380.0,4.0,147.05,1.2
30,870.0,4.0,281.85,1.2
40,1560.0,5.0,841.6,1.15
50,2450.0,5.0,1166.5,1.05
60,3540.0,5.0,1699.4,1.15
70,4830.0,6.0,4303.3,1.0
80,6320.0,6.0,5536.45,1.0
90,8010.0,6.0,7018.5,1.0
100,9900.0,6.0,8442.85,1.0
150,22350.0,7.0,37368.25,1.0
200,39800.0,7.0,65235.95,1.0
250,62250.0,7.0,107969.65,1.0
300,89700.0,8.0,294015.15,1.0
350,122150.0,8.0,400860.35,1.0
400,159600.0,8.0,526933.05,1.05
450,202050.0,8.0,639385.35,1.0
500,249500.0,8.0,799597.3,1.0
