vertices,Edges,pathlength,time taken,iteration
10,24,3,58,1
20,54,4,85,1
30,84,4,202,1
40,114,5,192,1
50,144,5,437,2
60,174,5,262,1
70,204,6,651,1
80,234,6,787,1
90,264,6,836,1
100,294,6,947,1
150,444,7,3620,1
200,594,7,4261,1
250,744,7,5607,1
300,894,8,13811,1
350,1044,8,16372,1
400,1194,8,18824,1
450,1344,8,21137,1
500,1494,8,23678,1
10,24,3,42,1
20,54,4,57,1
30,84,4,89,1
40,114,5,283,1
50,144,5,243,1
60,174,5,416,1
70,204,6,743,1
80,234,6,744,1
90,264,6,865,1
100,294,6,964,1
150,444,7,3253,1
200,594,7,4193,1
250,744,7,6479,1
300,894,8,13909,1
350,1044,8,16328,1
400,1194,8,19048,1
450,1344,8,21381,1
500,1494,8,23966,1
10,24,3,96,2
20,54,4,57,1
30,84,4,81,1
40,114,5,200,1
50,144,5,231,1
60,174,5,276,1
70,204,6,683,1
80,234,6,739,1
90,264,6,976,1
100,294,6,1413,1
150,444,7,3143,1
200,594,7,4096,1
250,744,7,5342,1
300,894,8,14117,1
350,1044,8,16599,1
400,1194,8,18728,1
450,1344,8,20895,1
500,1494,8,26585,1
10,24,3,33,1
20,54,4,58,1
30,84,4,83,1
40,114,5,354,2
50,144,5,238,1
60,174,5,259,1
70,204,6,690,1
80,234,6,1247,1
90,264,6,865,1
100,294,6,944,1
150,444,7,3086,1
200,594,7,4276,1
250,744,7,5510,1
300,894,8,14014,1
350,1044,8,16579,1
400,1194,8,18908,1
450,1344,8,21594,1
500,1494,8,23396,1
10,24,3,52,2
20,54,4,56,1
30,84,4,84,1
40,114,5,189,1
50,144,5,221,1
60,174,5,438,1
70,204,6,813,1
80,234,6,773,1
90,264,6,1647,2
100,294,6,964,1
150,444,7,3167,1
200,594,7,4131,1
250,744,7,5166,1
300,894,8,13885,1
350,1044,8,16508,1
400,1194,8,19770,1
450,1344,8,20551,1
500,1494,8,23158,1
10,24,3,34,1
20,54,4,110,2
30,84,4,82,1
40,114,5,187,1
50,144,5,237,1
60,174,5,283,1
70,204,6,750,1
80,234,6,798,1
90,264,6,835,1
100,294,6,935,1
150,444,7,3126,1
200,594,7,4844,1
250,744,7,5194,1
300,894,8,14039,1
350,1044,8,16594,1
400,1194,8,18536,1
450,1344,8,21190,1
500,1494,8,22989,1
10,24,3,33,1
20,54,4,58,1
30,84,4,77,1
40,114,5,189,1
50,144,5,220,1
60,174,5,256,1
70,204,6,855,1
80,234,6,913,1
90,264,6,841,1
100,294,6,909,1
150,444,7,3131,1
200,594,7,4647,1
250,744,7,6177,1
300,894,8,14548,1
350,1044,8,16003,1
400,1194,8,19805,1
450,1344,8,21066,1
500,1494,8,22961,1
10,24,3,33,1
20,54,4,53,1
30,84,4,81,1
40,114,5,348,2
50,144,5,230,1
60,174,5,279,1
70,204,6,716,1
80,234,6,787,1
90,264,6,894,1
100,294,6,947,1
150,444,7,3018,1
200,594,7,4366,1
250,744,7,5266,1
300,894,8,14437,1
350,1044,8,16422,1
400,1194,8,18646,1
450,1344,8,21189,1
500,1494,8,23827,1
10,24,3,47,2
20,54,4,57,1
30,84,4,80,1
40,114,5,186,1
50,144,5,232,1
60,174,5,263,1
70,204,6,669,1
80,234,6,1674,2
90,264,6,836,1
100,294,6,956,1
150,444,7,3038,1
200,594,7,4847,1
250,744,7,5104,1
300,894,8,13594,1
