vertices,Edges,pathlength,time taken,iteration
10,90.0,3.0,53.8,1.4
20,380.0,4.0,137.85,1.2
30,870.0,4.0,232.15,1.1
40,1560.0,5.0,787.35,1.1
50,2450.0,5.0,1195.75,1.05
60,3540.0,5.0,1583.45,1.0
70,4830.0,6.0,4519.85,1.05
80,6320.0,6.0,5558.45,1.05
90,8010.0,6.0,6843.5,1.0
100,9900.0,6.0,8307.15,1.0
150,22350.0,7.0,37467.6,1.0
200,39800.0,7.0,64511.5,1.0
250,62250.0,7.0,104684.1,1.05
300,89700.0,8.0,296699.6,1.0
350,122150.0,8.0,399018.75,1.0
400,159600.0,8.0,517305.0,1.0
450,202050.0,8.0,653974.85,1.0
500,249500.0,8.0,798995.95,1.0
