vertices,Edges,pathlength,time taken,iteration
10,40,3,123,1
20,162,4,314,2
30,396,4,285,1
40,718,5,870,1
50,1150,5,1262,1
60,1684,5,1666,1
70,2346,6,4619,1
80,3090,6,5650,1
90,3918,6,7434,1
100,4858,6,9401,1
150,11072,7,40330,1
200,19738,7,77963,1
250,30934,7,117615,1
300,44584,8,223825,1
350,60922,8,362302,1
400,79822,8,625758,1
450,101042,8,686084,1
500,124538,8,643084,1
10,48,3,68,1
20,206,4,302,2
30,452,4,282,1
40,808,5,818,1
50,1266,5,1254,1
60,1862,5,1707,1
70,2524,6,4764,1
80,3278,6,6036,1
90,4138,6,7248,1
100,5026,6,8582,1
150,11258,7,37834,1
200,20014,7,63252,1
250,31440,7,106522,1
300,45014,8,340617,1
350,60882,8,344947,1
400,79592,8,599018,1
450,100466,8,634919,1
500,124516,8,791049,1
10,38,3,84,2
20,200,4,228,2
30,440,4,360,1
40,788,5,723,1
50,1186,5,1002,1
60,1714,5,1306,1
70,2358,6,3742,1
80,3128,6,4829,1
90,3962,6,5873,1
100,4904,6,7171,1
150,11342,7,44639,2
200,20088,7,62532,1
250,31200,7,95862,1
300,44968,8,227159,1
350,61264,8,356435,1
400,80038,8,587026,1
450,101244,8,659770,1
500,125166,8,653468,1
10,58,3,132,1
20,208,4,545,2
30,432,4,698,1
40,744,5,1619,1
50,1160,5,2244,1
60,1674,5,3129,1
70,2328,6,9177,1
80,3062,6,10919,1
90,3890,6,13752,1
100,4828,6,16718,1
150,11094,7,76582,1
200,19858,7,62860,1
250,31108,7,86256,1
300,44776,8,287184,1
350,61246,8,381083,1
400,80050,8,526276,1
450,101282,8,936255,1
500,124956,8,722412,1
10,44,3,93,2
20,192,4,153,1
30,440,4,292,1
40,738,5,1444,2
50,1180,5,1195,1
60,1712,5,1601,1
70,2380,6,4588,1
80,3190,6,5805,1
90,3996,6,7106,1
100,4888,6,7421,1
150,11054,7,36890,1
200,19606,7,55541,1
250,30914,7,81150,1
300,44632,8,235284,1
350,60950,8,303660,1
400,79608,8,580959,1
450,101646,8,601583,1
500,125012,8,665511,1
10,38,3,61,1
20,182,4,129,1
30,418,4,228,1
40,740,5,700,1
50,1180,5,990,1
60,1714,5,1555,1
70,2348,6,3747,1
80,3114,6,4830,1
90,3978,6,5938,1
100,4954,6,7450,1
150,11260,7,33781,1
200,20166,7,61576,1
250,31108,7,133314,1
300,44684,8,332453,1
350,60924,8,429652,1
400,79570,8,538763,1
450,101058,8,665969,1
500,124588,8,719976,1
10,44,3,89,2
20,202,4,146,1
30,444,4,233,1
40,758,5,715,1
50,1198,5,1682,2
60,1776,5,2139,1
70,2416,6,4306,1
80,3144,6,6299,1
90,3994,6,6991,1
100,4922,6,8205,1
150,11144,7,37746,1
200,19912,7,61238,1
250,31218,7,84715,1
300,45098,8,282228,1
350,61528,8,563100,1
400,79374,8,424330,1
450,100524,8,514441,1
500,125000,8,685529,1
10,38,3,74,1
20,182,4,150,1
30,432,4,463,2
40,786,5,819,1
50,1204,5,1266,1
60,1718,5,1694,1
70,2338,6,4651,1
80,3090,6,6010,1
90,3886,6,7159,1
100,4838,6,8666,1
150,10910,7,35057,1
200,19484,7,55240,1
250,30504,7,77663,1
300,44236,8,266899,1
350,60456,8,351835,1
400,79278,8,602013,1
450,100430,8,532767,1
500,124160,8,876143,1
10,52,3,112,3
20,236,4,134,1
30,494,4,317,1
40,840,5,931,1
50,1258,5,1048,1
60,1784,5,1418,1
70,2468,6,3523,1
80,3188,6,5311,1
90,4022,6,4768,1
100,4996,6,5157,1
150,11214,7,24620,1
200,19688,7,49652,1
250,31034,7,70529,1
300,45082,8,262438,1
350,61206,8,374136,1
400,79850,8,505270,1
450,100546,8,485190,1
500,124586,8,755136,1
10,40,3,87,2
20,178,4,133,1
30,432,4,212,1
40,792,5,806,1
50,1258,5,1132,1
60,1774,5,1729,1
70,2428,6,4774,1
80,3184,6,5953,1
90,4062,6,7836,1
100,5046,6,8929,1
150,11424,7,46405,1
200,20114,7,52172,1
250,31244,7,69965,1
300,44788,8,294162,1
350,60964,8,644578,1
400,79740,8,466070,1
450,101412,8,1018633,1
500,124812,8,1095895,1
10,42,3,204,6
20,174,4,146,1
30,428,4,254,1
40,800,5,804,1
50,1250,5,1198,1
60,1778,5,1562,1
70,2388,6,4305,1
80,3134,6,5726,1
90,4006,6,6711,1
100,4878,6,8236,1
150,11130,7,35520,1
200,19800,7,70157,1
250,31134,7,150124,1
300,44772,8,241638,1
350,61008,8,278913,1
400,79672,8,391427,1
450,101240,8,851242,1
500,125072,8,790139,1
10,44,3,83,1
20,188,4,209,1
30,428,4,359,1
40,760,5,1115,1
50,1210,5,1272,1
60,1726,5,2162,1
70,2338,6,5805,1
80,3094,6,6992,1
90,4000,6,8759,1
100,4902,6,10730,1
150,10968,7,48778,1
200,19704,7,70841,1
250,30910,7,67185,1
300,44510,8,248442,1
350,60848,8,423964,1
400,79626,8,514472,1
450,100734,8,486082,1
500,124526,8,725346,1
10,40,3,71,1
20,170,4,168,1
30,396,4,282,1
40,770,5,1532,2
50,1266,5,1667,1
60,1754,5,1817,1
70,2368,6,4865,1
80,3120,6,6566,1
90,3954,6,7795,1
100,4890,6,9388,1
150,11174,7,40470,1
200,20080,7,70978,1
250,31350,7,85951,1
300,44738,8,238010,1
350,61100,8,396389,1
400,79846,8,516788,1
450,101026,8,694364,1
500,124788,8,856052,1
10,40,3,43,1
20,174,4,98,1
30,418,4,188,1
40,808,5,1512,3
50,1262,5,824,1
60,1800,5,1601,1
70,2494,6,3859,1
80,3250,6,4983,1
90,4086,6,6879,1
100,5036,6,10224,1
150,11304,7,36660,1
200,19904,7,60630,1
250,30968,7,94434,1
300,44768,8,280616,1
350,60994,8,324521,1
400,79640,8,377806,1
450,101088,8,578128,1
500,124750,8,729853,1
10,42,3,133,1
20,206,4,278,2
30,480,4,287,1
40,820,5,922,1
50,1280,5,1274,1
60,1840,5,1819,1
70,2496,6,5442,1
80,3218,6,6395,1
90,4106,6,7497,1
100,4988,6,8569,1
150,11386,7,31840,1
200,20234,7,42717,1
250,31310,7,67118,1
300,45180,8,287823,1
350,61260,8,365444,1
400,80024,8,474171,1
450,101186,8,610426,1
500,124856,8,649886,1
10,44,3,96,2
20,222,4,165,1
30,486,4,286,1
40,856,5,891,1
50,1308,5,1411,1
60,1788,5,1667,1
70,2386,6,4531,1
80,3192,6,6034,1
90,4052,6,7638,1
100,4990,6,11588,1
150,11168,7,50170,1
200,19930,7,115726,1
250,31130,7,86354,1
300,44784,8,282826,1
350,61014,8,449782,1
400,79656,8,458708,1
450,101116,8,653912,1
500,124782,8,629671,1
10,46,3,54,1
20,210,4,129,1
30,448,4,227,1
40,790,5,728,1
50,1244,5,1039,1
60,1792,5,1277,1
70,2444,6,3660,1
80,3190,6,4848,1
90,4002,6,5682,1
100,4974,6,7324,1
150,11278,7,31020,1
200,19986,7,52182,1
250,31184,7,91616,1
300,45012,8,410511,1
350,60886,8,443167,1
400,79506,8,442916,1
450,100806,8,533614,1
500,125006,8,632372,1
10,46,3,69,1
20,184,4,119,1
30,428,4,222,1
40,790,5,677,1
50,1228,5,951,1
60,1754,5,1506,1
70,2442,6,4057,1
80,3202,6,5838,1
90,4046,6,7564,1
100,4950,6,15722,2
150,11016,7,42316,1
200,19744,7,52510,1
250,30920,7,69686,1
300,44602,8,242670,1
350,60678,8,392256,1
400,79510,8,377503,1
450,100884,8,605461,1
500,124558,8,725286,1
10,42,3,60,1
20,170,4,128,1
30,416,4,242,1
40,738,5,1136,2
50,1196,5,1055,1
60,1774,5,1456,1
70,2424,6,4290,1
80,3100,6,5066,1
90,3904,6,6069,1
100,4814,6,7225,1
150,10990,7,32667,1
200,19784,7,56146,1
250,30878,7,113477,1
300,44594,8,408456,1
350,60818,8,434263,1
400,79652,8,585088,1
450,100968,8,615144,1
500,124688,8,1242552,1
10,38,3,86,1
20,180,4,200,1
30,442,4,369,1
40,762,5,1198,1
50,1212,5,1601,1
60,1810,5,2258,1
70,2434,6,6277,1
80,3184,6,7751,1
90,3958,6,9202,1
100,4910,6,11467,1
150,11022,7,36021,1
200,19826,7,42147,1
250,31192,7,73197,1
300,44908,8,221885,1
350,60884,8,417519,1
400,79454,8,530585,1
450,101314,8,958214,1
500,124876,8,580013,1
