vertices,Edges,pathlength,time taken,iteration
10,43.2,3.0,91.1,1.6
20,191.3,4.0,193.7,1.25
30,437.5,4.0,304.3,1.05
40,780.3,5.0,998.0,1.25
50,1224.8,5.0,1268.35,1.05
60,1761.4,5.0,1753.45,1.0
70,2407.4,6.0,4749.1,1.0
80,3157.6,6.0,6092.05,1.0
90,3998.0,6.0,7395.05,1.0
100,4929.6,6.0,9408.65,1.05
150,11160.4,7.0,39967.3,1.05
200,19883.0,7.0,61803.0,1.0
250,31084.0,7.0,91136.65,1.0
300,44786.5,8.0,280756.3,1.0
350,60991.6,8.0,401897.3,1.0
400,79675.4,8.0,506247.35,1.0
450,101000.6,8.0,666109.9,1.0
500,124761.8,8.0,758468.65,1.0
