vertices,Edges,pathlength,time taken,iteration
10,90.0,3.0,37.0,1.0
20,380.0,4.0,111.75,1.0
30,870.0,4.0,207.45,1.0
40,1560.0,5.0,678.2,1.0
50,2450.0,5.0,989.6,1.0
60,3540.0,5.0,1411.5,1.0
70,4830.0,6.0,4104.5,1.0
80,6320.0,6.0,5076.5,1.0
90,8010.0,6.0,6263.4,1.0
100,9900.0,6.0,7615.25,1.0
150,22350.0,7.0,34715.75,1.0
200,39800.0,7.0,59252.65,1.0
250,62250.0,7.0,91016.55,1.0
300,89700.0,8.0,269618.35,1.0
350,122150.0,8.0,358747.95,1.0
400,159600.0,8.0,464154.15,1.0
450,202050.0,8.0,581541.3,1.0
500,249500.0,8.0,710452.85,1.0
