vertices,Edges,pathlength,time taken,iteration
10,44.8,3.0,65.4,1.0
20,190.0,4.0,194.65,1.0
30,440.8,4.0,302.45,1.0
40,777.5,5.0,946.75,1.0
50,1231.7,5.0,1380.0,1.0
60,1773.2,5.0,1907.65,1.0
70,2413.4,6.0,5262.15,1.0
80,3156.7,6.0,6553.75,1.0
90,4004.1,6.0,8230.05,1.0
100,4947.9,6.0,10704.3,1.0
150,11172.7,7.0,45502.95,1.0
200,19885.6,7.0,71462.05,1.0
250,31120.0,7.0,95971.75,1.0
300,44831.6,8.0,265663.25,1.0
350,60966.0,8.0,363125.0,1.0
400,79707.8,8.0,492025.0,1.0
450,101052.4,8.0,632360.9,1.0
500,124782.9,8.0,732905.95,1.0
