vertices,Edges,pathlength,time taken,iteration
10,90,3,54,1
20,380,4,131,1
30,870,4,352,1
40,1560,5,637,1
50,2450,5,943,1
60,3540,5,1311,1
70,4830,6,3814,1
80,6320,6,4849,1
90,8010,6,5902,1
100,9900,6,7261,1
150,22350,7,32355,1
200,39800,7,57100,1
250,62250,7,87928,1
300,89700,8,255106,1
350,122150,8,345910,1
400,159600,8,448549,1
450,202050,8,558007,1
500,249500,8,708477,1
10,90,3,34,1
20,380,4,106,1
30,870,4,188,1
40,1560,5,661,1
50,2450,5,978,1
60,3540,5,1321,1
70,4830,6,3764,1
80,6320,6,4784,1
90,8010,6,6073,1
100,9900,6,7243,1
150,22350,7,32730,1
200,39800,7,56080,1
250,62250,7,98060,1
300,89700,8,255477,1
350,122150,8,403881,1
400,159600,8,479394,1
450,202050,8,579297,1
500,249500,8,723680,1
10,90,3,41,1
20,380,4,104,1
30,870,4,188,1
40,1560,5,653,1
50,2450,5,959,1
60,3540,5,1320,1
70,4830,6,3891,1
80,6320,6,4791,1
90,8010,6,5946,1
100,9900,6,7360,1
150,22350,7,32622,1
200,39800,7,57791,1
250,62250,7,88321,1
300,89700,8,264892,1
350,122150,8,369373,1
400,159600,8,454903,1
450,202050,8,582771,1
500,249500,8,699098,1
10,90,3,41,1
20,380,4,106,1
30,870,4,236,1
40,1560,5,700,1
50,2450,5,950,1
60,3540,5,1317,1
70,4830,6,3844,1
80,6320,6,4783,1
90,8010,6,6107,1
100,9900,6,7278,1
150,22350,7,32779,1
200,39800,7,56161,1
250,62250,7,86568,1
300,89700,8,255252,1
350,122150,8,349656,1
400,159600,8,456849,1
450,202050,8,576814,1
500,249500,8,714848,1
10,90,3,38,1
20,380,4,103,1
30,870,4,191,1
40,1560,5,653,1
50,2450,5,1080,1
60,3540,5,1321,1
70,4830,6,3759,1
80,6320,6,4977,1
90,8010,6,7024,1
100,9900,6,7330,1
150,22350,7,32630,1
200,39800,7,56357,1
250,62250,7,86948,1
300,89700,8,255488,1
350,122150,8,347908,1
400,159600,8,498978,1
450,202050,8,595649,1
500,249500,8,696760,1
10,90,3,34,1
20,380,4,102,1
30,870,4,189,1
40,1560,5,656,1
50,2450,5,995,1
60,3540,5,1449,1
70,4830,6,3802,1
80,6320,6,4868,1
90,8010,6,6096,1
100,9900,6,7294,1
150,22350,7,32912,1
200,39800,7,56777,1
250,62250,7,88021,1
300,89700,8,254535,1
350,122150,8,339555,1
400,159600,8,442053,1
450,202050,8,556856,1
500,249500,8,688983,1
10,90,3,33,1
20,380,4,105,1
30,870,4,190,1
40,1560,5,658,1
50,2450,5,952,1
60,3540,5,1317,1
70,4830,6,3926,1
80,6320,6,4937,1
90,8010,6,6197,1
100,9900,6,7409,1
150,22350,7,33412,1
200,39800,7,56847,1
250,62250,7,87962,1
300,89700,8,257889,1
350,122150,8,343914,1
400,159600,8,442990,1
450,202050,8,556335,1
500,249500,8,681695,1
10,90,3,34,1
20,380,4,103,1
30,870,4,190,1
40,1560,5,651,1
50,2450,5,963,1
60,3540,5,1336,1
70,4830,6,3900,1
80,6320,6,4954,1
90,8010,6,6096,1
100,9900,6,7260,1
150,22350,7,33907,1
200,39800,7,56937,1
250,62250,7,86997,1
300,89700,8,254785,1
350,122150,8,345150,1
400,159600,8,447603,1
450,202050,8,557309,1
500,249500,8,680453,1
10,90,3,33,1
20,380,4,103,1
30,870,4,185,1
40,1560,5,688,1
50,2450,5,1064,1
60,3540,5,1388,1
70,4830,6,3738,1
80,6320,6,5268,1
90,8010,6,6277,1
100,9900,6,7321,1
150,22350,7,32848,1
200,39800,7,55568,1
250,62250,7,85352,1
300,89700,8,251464,1
350,122150,8,339378,1
400,159600,8,442317,1
450,202050,8,555776,1
500,249500,8,676284,1
10,90,3,34,1
20,380,4,103,1
30,870,4,191,1
40,1560,5,672,1
50,2450,5,958,1
60,3540,5,1334,1
70,4830,6,3765,1
80,6320,6,4775,1
90,8010,6,5906,1
100,9900,6,7191,1
150,22350,7,32209,1
200,39800,7,55847,1
250,62250,7,85206,1
300,89700,8,254656,1
350,122150,8,343810,1
400,159600,8,443776,1
450,202050,8,556945,1
500,249500,8,684391,1
10,90,3,44,1
20,380,4,140,1
30,870,4,242,1
40,1560,5,651,1
50,2450,5,935,1
60,3540,5,1288,1
70,4830,6,3809,1
80,6320,6,4973,1
90,8010,6,6057,1
100,9900,6,7468,1
150,22350,7,33059,1
200,39800,7,56078,1
250,62250,7,86002,1
300,89700,8,254809,1
350,122150,8,341197,1
400,159600,8,443798,1
450,202050,8,558219,1
500,249500,8,690625,1
10,90,3,37,1
20,380,4,104,1
30,870,4,195,1
40,1560,5,652,1
50,2450,5,960,1
60,3540,5,1341,1
70,4830,6,3765,1
80,6320,6,4978,1
90,8010,6,6397,1
100,9900,6,7283,1
150,22350,7,32699,1
200,39800,7,55621,1
250,62250,7,85558,1
300,89700,8,251173,1
350,122150,8,336113,1
400,159600,8,439560,1
450,202050,8,550619,1
500,249500,8,677161,1
10,90,3,43,1
20,380,4,100,1
30,870,4,196,1
40,1560,5,674,1
50,2450,5,935,1
60,3540,5,1310,1
70,4830,6,3849,1
80,6320,6,4661,1
90,8010,6,6111,1
100,9900,6,7282,1
150,22350,7,33464,1
200,39800,7,56689,1
250,62250,7,86305,1
300,89700,8,252893,1
350,122150,8,342297,1
400,159600,8,438814,1
450,202050,8,555048,1
500,249500,8,675391,1
10,90,3,40,1
20,380,4,108,1
30,870,4,191,1
40,1560,5,667,1
50,2450,5,955,1
60,3540,5,1318,1
70,4830,6,3793,1
80,6320,6,4783,1
90,8010,6,5964,1
100,9900,6,7194,1
150,22350,7,32219,1
200,39800,7,55517,1
250,62250,7,85715,1
300,89700,8,251475,1
350,122150,8,339727,1
400,159600,8,442980,1
450,202050,8,553289,1
500,249500,8,679858,1
10,90,3,35,1
20,380,4,102,1
30,870,4,190,1
40,1560,5,649,1
50,2450,5,932,1
60,3540,5,1337,1
70,4830,6,3906,1
80,6320,6,4760,1
90,8010,6,5998,1
100,9900,6,8085,1
