vertices,Edges,pathlength,time taken,iteration
10,90.0,3.0,37.55,1.0
20,380.0,4.0,109.8,1.0
30,870.0,4.0,208.7,1.0
40,1560.0,5.0,661.45,1.0
50,2450.0,5.0,987.05,1.0
60,3540.0,5.0,1357.85,1.0
70,4830.0,6.0,3823.2,1.0
80,6320.0,6.0,4875.2,1.0
90,8010.0,6.0,6149.45,1.0
100,9900.0,6.0,7366.8,1.0
150,22350.0,7.0,33139.1,1.0
200,39800.0,7.0,57281.5,1.0
250,62250.0,7.0,87124.85,1.0
300,89700.0,8.0,255276.7,1.0
350,122150.0,8.0,347192.65,1.0
400,159600.0,8.0,450963.85,1.0
450,202050.0,8.0,565560.0,1.0
500,249500.0,8.0,693623.45,1.0
