vertices,Edges,pathlength,time taken,iteration
10,42,3,54,1
20,208,4,94,1
30,476,4,307,1
40,836,5,446,1
50,1242,5,645,1
60,1774,5,872,1
70,2370,6,2363,1
80,3094,6,2974,1
90,3948,6,3701,1
100,4934,6,4460,1
150,11136,7,19364,1
200,19964,7,35051,1
250,31092,7,53088,1
300,44774,8,150259,1
350,61108,8,208402,1
400,79820,8,259539,1
450,100882,8,357414,1
500,124742,8,418989,1
10,42,3,34,1
20,198,4,82,1
30,422,4,136,1
40,776,5,554,1
50,1216,5,698,1
60,1798,5,874,1
70,2418,6,2424,1
80,3170,6,3266,1
90,4018,6,4047,1
100,4982,6,4428,1
150,11292,7,20200,1
200,20072,7,35076,1
250,31256,7,52074,1
300,45176,8,152500,1
350,61422,8,206324,1
400,79422,8,313381,1
450,100792,8,460338,1
500,124458,8,463085,1
10,52,3,30,1
20,186,4,78,1
30,422,4,135,1
40,760,5,435,1
50,1230,5,638,1
60,1746,5,973,1
70,2362,6,2342,1
80,3128,6,3705,1
90,3982,6,3921,1
100,4966,6,4717,1
150,11260,7,21348,1
200,20048,7,34582,1
250,31206,7,64141,1
300,45076,8,165451,1
350,61340,8,219783,1
400,79628,8,319386,1
450,100810,8,387112,1
500,124362,8,532636,1
10,44,3,36,1
20,186,4,79,1
30,440,4,138,1
40,798,5,493,1
50,1272,5,677,1
60,1748,5,921,1
70,2436,6,2569,1
80,3176,6,3952,1
90,4012,6,3872,1
100,4962,6,6362,1
150,11200,7,26661,1
200,20068,7,44486,1
250,31316,7,67009,1
300,44954,8,196282,1
350,61200,8,245324,1
400,79736,8,265929,1
450,100986,8,390952,1
500,124324,8,437027,1
10,42,3,30,1
20,176,4,79,1
30,426,4,139,1
40,786,5,630,1
50,1208,5,614,1
60,1790,5,872,1
70,2442,6,2545,1
80,3176,6,3006,1
90,4014,6,3809,1
100,4920,6,4693,1
150,11172,7,19767,1
200,19832,7,34291,1
250,31010,7,51814,1
300,44834,8,152989,1
350,61048,8,203632,1
400,79780,8,263952,1
450,101058,8,332753,1
500,124892,8,413035,1
10,54,3,32,1
20,180,4,77,1
30,404,4,135,1
40,752,5,419,1
50,1208,5,609,1
60,1736,5,853,1
70,2362,6,2536,1
80,3094,6,2931,1
90,3968,6,3912,1
100,4932,6,4763,1
150,11250,7,20532,1
200,19960,7,34745,1
250,31164,7,51924,1
300,44888,8,151726,1
350,61358,8,202602,1
400,79958,8,262705,1
450,101380,8,336420,1
500,125170,8,422616,1
10,46,3,43,1
20,192,4,147,1
30,438,4,267,1
40,806,5,748,1
50,1226,5,717,1
60,1740,5,852,1
70,2398,6,2376,1
80,3154,6,3875,1
90,4000,6,4218,1
100,4942,6,5331,1
150,11118,7,22418,1
200,19846,7,39835,1
250,31072,7,63363,1
300,44902,8,154344,1
350,61184,8,205407,1
400,79748,8,261538,1
450,100942,8,329001,1
500,124682,8,404240,1
10,42,3,35,1
20,194,4,81,1
30,440,4,147,1
40,800,5,457,1
50,1214,5,624,1
60,1802,5,873,1
70,2476,6,2529,1
80,3158,6,2986,1
90,4016,6,4101,1
100,4950,6,4692,1
150,11130,7,19864,1
200,19868,7,33905,1
250,31316,7,52063,1
300,44902,8,151147,1
350,61290,8,203942,1
400,79912,8,262102,1
450,101038,8,332220,1
500,124776,8,399496,1
10,52,3,35,1
20,212,4,82,1
30,456,4,141,1
40,794,5,439,1
50,1246,5,636,1
60,1814,5,873,1
70,2492,6,2611,1
80,3206,6,3032,1
90,4054,6,3691,1
100,4962,6,4524,1
150,11144,7,19620,1
200,19912,7,33347,1
250,31124,7,51583,1
300,44656,8,149403,1
350,60790,8,200655,1
400,79852,8,265526,1
450,101326,8,332114,1
500,124992,8,399117,1
10,52,3,31,1
20,174,4,75,1
30,430,4,140,1
40,734,5,416,1
50,1182,5,599,1
60,1726,5,840,1
70,2392,6,2442,1
80,3180,6,3002,1
90,4056,6,3811,1
100,4922,6,4398,1
150,10984,7,18947,1
200,19786,7,33012,1
250,31072,7,50680,1
300,44916,8,147008,1
350,61182,8,201661,1
400,79974,8,260103,1
450,101082,8,350858,1
500,124720,8,392406,1
10,44,3,34,1
20,176,4,73,1
30,430,4,134,1
40,758,5,411,1
50,1182,5,597,1
60,1692,5,815,1
70,2336,6,2448,1
80,3100,6,2964,1
90,3988,6,3836,1
100,4922,6,4531,1
150,11216,7,19908,1
200,19882,7,33608,1
250,31134,7,51105,1
300,44770,8,148168,1
350,61024,8,199309,1
400,79698,8,257593,1
450,101170,8,320853,1
500,125202,8,397659,1
10,34,3,35,1
20,174,4,75,1
30,432,4,295,1
40,784,5,536,1
50,1214,5,632,1
60,1738,5,850,1
70,2414,6,2425,1
80,3162,6,2980,1
90,4002,6,3726,1
100,4984,6,4571,1
150,11112,7,19235,1
200,19670,7,33074,1
250,30794,7,49831,1
300,44564,8,145203,1
350,60726,8,197089,1
400,79646,8,255058,1
450,100494,8,322758,1
500,124048,8,389037,1
10,44,3,35,1
20,200,4,80,1
30,456,4,141,1
40,826,5,447,1
50,1268,5,649,1
60,1804,5,920,1
70,2476,6,2403,1
80,3214,6,3016,1
90,4110,6,3761,1
100,5022,6,4583,1
150,11236,7,19541,1
200,19948,7,33143,1
250,30852,7,50001,1
300,44506,8,145149,1
350,60940,8,199707,1
400,79700,8,255133,1
450,101088,8,323593,1
500,124644,8,393507,1
10,38,3,31,1
20,194,4,78,1
30,410,4,131,1
40,740,5,414,1
50,1178,5,598,1
60,1706,5,823,1
70,2384,6,2460,1
80,3118,6,2871,1
