vertices,Edges,pathlength,time taken,iteration
10,90.0,8.0,27950.3,52.3
20,380.0,8.0,3934.5,2.3
30,870.0,8.0,5247.95,1.45
40,1560.0,8.0,7062.75,1.1
50,2450.0,8.0,10211.0,1.05
60,3540.0,8.0,13570.8,1.0
70,4830.0,8.0,18981.5,1.1
80,6320.0,8.0,24984.05,1.15
90,8010.0,8.0,28580.2,1.0
100,9900.0,8.0,34768.1,1.0
150,22350.0,8.0,74397.95,1.0
200,39800.0,8.0,136082.15,1.1
250,62250.0,8.0,204759.6,1.05
300,89700.0,8.0,287719.2,1.0
350,122150.0,8.0,384342.35,1.0
400,159600.0,8.0,500027.25,1.0
450,202050.0,8.0,644562.05,1.05
500,249500.0,8.0,765166.2,1.0
