vertices,Edges,pathlength,time taken,iteration
10,43.9,8.0,17090.9,34.25
20,187.2,8.0,4071.65,3.15
30,428.9,8.0,4560.25,1.85
40,775.1,8.0,5476.25,1.3
50,1224.5,8.0,6620.95,1.05
60,1765.4,8.0,8926.4,1.05
70,2410.9,8.0,12812.55,1.2
80,3143.0,8.0,14183.45,1.0
90,3993.6,8.0,17771.5,1.05
100,4934.6,8.0,20739.2,1.0
150,11140.2,8.0,43197.8,1.0
200,19892.2,8.0,77695.2,1.1
250,31077.5,8.0,113527.95,1.0
300,44824.5,8.0,158416.4,1.0
350,61040.8,8.0,212475.15,1.0
400,79780.1,8.0,281120.15,1.0
450,101015.9,8.0,342556.1,1.0
500,124772.1,8.0,421239.55,1.0
