vertices,Edges,pathlength,time taken,iteration
10,90.0,8.0,605997.85,1213.25
20,380.0,8.0,13243.7,9.2
30,870.0,8.0,7708.35,2.3
40,1560.0,8.0,7913.1,1.3
50,2450.0,8.0,11248.85,1.2
60,3540.0,8.0,14228.45,1.05
70,4830.0,8.0,18828.8,1.05
80,6320.0,8.0,23251.6,1.0
90,8010.0,8.0,28937.55,1.0
100,9900.0,8.0,35121.7,1.0
150,22350.0,8.0,76851.9,1.0
200,39800.0,8.0,131687.8,1.0
250,62250.0,8.0,203097.2,1.0
300,89700.0,8.0,290474.2,1.0
350,122150.0,8.0,397142.0,1.0
400,159600.0,8.0,511264.7,1.0
450,202050.0,8.0,644007.65,1.0
500,249500.0,8.0,791883.85,1.0
