vertices,Edges,pathlength,time taken,iteration
10,24,8,630,1
20,54,8,1160,1
30,84,8,1979,1
40,114,8,2430,1
50,144,8,3097,1
60,174,8,3669,1
70,204,8,4274,1
80,234,8,4904,1
90,264,8,5573,1
100,294,8,6112,1
150,444,8,9272,1
200,594,8,12298,1
250,744,8,15664,1
300,894,8,18549,1
350,1044,8,21572,1
400,1194,8,25383,1
450,1344,8,31277,1
500,1494,8,31449,1
10,24,8,517,1
20,54,8,1151,1
30,84,8,1815,1
40,114,8,2812,1
50,144,8,3045,1
60,174,8,3756,1
70,204,8,4358,1
80,234,8,4904,1
90,264,8,5596,1
100,294,8,6194,1
150,444,8,9310,1
200,594,8,13013,1
250,744,8,15866,1
300,894,8,18572,1
350,1044,8,22581,1
400,1194,8,24774,1
450,1344,8,28179,1
500,1494,8,30917,1
10,24,8,536,1
20,54,8,1270,1
30,84,8,1810,1
40,114,8,2498,1
50,144,8,3028,1
60,174,8,3659,1
70,204,8,4285,1
80,234,8,4881,1
90,264,8,5524,1
100,294,8,6353,1
150,444,8,10219,1
200,594,8,13251,1
250,744,8,16298,1
300,894,8,22726,1
350,1044,8,23451,1
400,1194,8,26608,1
450,1344,8,28780,1
500,1494,8,32528,1
10,24,8,573,1
20,54,8,1170,1
30,84,8,1797,1
40,114,8,2484,1
50,144,8,3061,1
60,174,8,3658,1
70,204,8,4512,1
80,234,8,5066,1
90,264,8,5602,1
100,294,8,6206,1
150,444,8,9288,1
200,594,8,12333,1
250,744,8,15413,1
300,894,8,18539,1
350,1044,8,21544,1
400,1194,8,25681,1
450,1344,8,27798,1
500,1494,8,32357,1
10,24,8,531,1
20,54,8,1210,1
30,84,8,1800,1
40,114,8,2556,1
50,144,8,3109,1
60,174,8,3634,1
70,204,8,4301,1
80,234,8,4940,1
90,264,8,5540,1
100,294,8,6263,1
150,444,8,9723,1
200,594,8,12851,1
250,744,8,15920,1
300,894,8,18632,1
350,1044,8,21845,1
400,1194,8,25271,1
450,1344,8,29319,1
500,1494,8,31035,1
10,24,8,610,1
20,54,8,1206,1
30,84,8,1806,1
40,114,8,2414,1
50,144,8,3095,1
60,174,8,3642,1
70,204,8,4382,1
80,234,8,5035,1
90,264,8,5696,1
100,294,8,6218,1
150,444,8,9334,1
200,594,8,12482,1
250,744,8,15589,1
300,894,8,19398,1
350,1044,8,22243,1
400,1194,8,25271,1
450,1344,8,28198,1
500,1494,8,31019,1
10,24,8,521,1
20,54,8,1150,1
30,84,8,1795,1
40,114,8,2477,1
50,144,8,3112,1
60,174,8,3782,1
70,204,8,4336,1
80,234,8,5048,1
90,264,8,5700,1
100,294,8,6211,1
150,444,8,10437,1
200,594,8,12669,1
250,744,8,15452,1
300,894,8,18573,1
350,1044,8,21741,1
400,1194,8,25212,1
450,1344,8,28256,1
500,1494,8,31145,1
10,24,8,794,1
20,54,8,1254,1
30,84,8,1798,1
40,114,8,2990,1
50,144,8,3014,1
60,174,8,3905,1
70,204,8,4327,1
80,234,8,5289,1
90,264,8,5812,1
100,294,8,6365,1
150,444,8,9348,1
200,594,8,12613,1
250,744,8,15660,1
300,894,8,18788,1
350,1044,8,22171,1
400,1194,8,25346,1
450,1344,8,29156,1
500,1494,8,31472,1
10,24,8,519,1
20,54,8,1276,1
30,84,8,1819,1
40,114,8,2421,1
50,144,8,3108,1
60,174,8,3652,1
70,204,8,4594,1
80,234,8,5132,1
90,264,8,5561,1
100,294,8,6251,1
150,444,8,9578,1
200,594,8,12649,1
250,744,8,15961,1
300,894,8,19742,1
350,1044,8,22751,1
400,1194,8,24841,1
450,1344,8,28129,1
500,1494,8,30850,1
10,24,8,639,1
20,54,8,1176,1
30,84,8,1786,1
40,114,8,2410,1
50,144,8,3229,1
60,174,8,3684,1
70,204,8,4403,1
80,234,8,4929,1
90,264,8,5983,1
100,294,8,6140,1
150,444,8,9205,1
200,594,8,12642,1
250,744,8,15958,1
300,894,8,18686,1
350,1044,8,22232,1
400,1194,8,24967,1
450,1344,8,28519,1
500,1494,8,30888,1
10,24,8,554,1
20,54,8,1325,1
