vertices,Edges,pathlength,time taken,iteration
10,24.0,8.0,563.25,1.0
20,54.0,8.0,1232.45,1.0
30,84.0,8.0,1845.15,1.0
40,114.0,8.0,2554.6,1.0
50,144.0,8.0,3209.9,1.0
60,174.0,8.0,3807.75,1.0
70,204.0,8.0,4507.55,1.0
80,234.0,8.0,5036.05,1.0
90,264.0,8.0,5744.65,1.0
100,294.0,8.0,6318.35,1.0
150,444.0,8.0,9525.05,1.0
200,594.0,8.0,12739.85,1.0
250,744.0,8.0,15951.9,1.0
300,894.0,8.0,19168.8,1.0
350,1044.0,8.0,22393.95,1.0
400,1194.0,8.0,25453.1,1.0
450,1344.0,8.0,28849.5,1.0
500,1494.0,8.0,31843.25,1.0
