vertices,Edges,pathlength,time taken,iteration
10,46.8,8.0,694.7,1.0
20,188.6,8.0,1981.85,1.0
30,433.2,8.0,3457.65,1.0
40,781.2,8.0,5301.8,1.0
50,1229.8,8.0,7557.3,1.0
60,1776.3,8.0,9871.6,1.0
70,2413.7,8.0,12572.9,1.0
80,3161.2,8.0,15622.6,1.0
90,4009.9,8.0,19208.9,1.0
100,4958.5,8.0,22836.5,1.0
150,11177.4,8.0,46458.05,1.0
200,19831.9,8.0,77778.25,1.0
250,31085.2,8.0,117497.05,1.0
300,44816.7,8.0,167680.7,1.0
350,60973.3,8.0,226153.5,1.0
400,79834.8,8.0,285125.55,1.0
450,101054.4,8.0,359520.6,1.0
500,124850.1,8.0,439213.45,1.0
