vertices,Edges,pathlength,time taken,iteration
10,24,8,722,1
20,54,8,996,1
30,84,8,1776,1
40,114,8,3010,1
50,144,8,3562,1
60,174,8,3318,1
70,204,8,4131,1
80,234,8,4277,1
90,264,8,5576,1
100,294,8,6029,1
150,444,8,8364,1
200,594,8,13254,1
250,744,8,18016,1
300,894,8,19167,1
350,1044,8,23996,1
400,1194,8,22901,1
450,1344,8,24031,1
500,1494,8,27720,1
10,24,8,517,1
20,54,8,1050,1
30,84,8,1619,1
40,114,8,2252,1
50,144,8,2793,1
60,174,8,3303,1
70,204,8,3942,1
80,234,8,4463,1
90,264,8,5115,1
100,294,8,5613,1
150,444,8,8420,1
200,594,8,11399,1
250,744,8,13742,1
300,894,8,16825,1
350,1044,8,21431,1
400,1194,8,24013,1
450,1344,8,24625,1
500,1494,8,27298,1
10,24,8,458,1
20,54,8,990,1
30,84,8,1965,1
40,114,8,2087,1
50,144,8,2919,1
60,174,8,3473,1
70,204,8,3601,1
80,234,8,4413,1
90,264,8,4959,1
100,294,8,5196,1
150,444,8,8242,1
200,594,8,10686,1
250,744,8,13875,1
300,894,8,16159,1
350,1044,8,18532,1
400,1194,8,21391,1
450,1344,8,23879,1
500,1494,8,26667,1
10,24,8,453,1
20,54,8,993,1
30,84,8,1530,1
40,114,8,2098,1
50,144,8,2655,1
60,174,8,3114,1
70,204,8,3602,1
80,234,8,4336,1
90,264,8,4688,1
100,294,8,5180,1
150,444,8,8083,1
200,594,8,10572,1
250,744,8,13311,1
300,894,8,15873,1
350,1044,8,18698,1
400,1194,8,21363,1
450,1344,8,24197,1
500,1494,8,26591,1
10,24,8,457,1
20,54,8,983,1
30,84,8,1494,1
40,114,8,2036,1
50,144,8,2692,1
60,174,8,3102,1
70,204,8,3726,1
80,234,8,4104,1
90,264,8,4696,1
100,294,8,5279,1
150,444,8,7892,1
200,594,8,11662,1
250,744,8,15172,1
300,894,8,16931,1
350,1044,8,20404,1
400,1194,8,23485,1
450,1344,8,24392,1
500,1494,8,33445,1
10,24,8,553,1
20,54,8,1034,1
30,84,8,1788,1
40,114,8,2380,1
50,144,8,2834,1
60,174,8,3634,1
70,204,8,3980,1
80,234,8,4686,1
90,264,8,5234,1
100,294,8,5733,1
150,444,8,10040,1
200,594,8,12620,1
250,744,8,14971,1
300,894,8,19489,1
350,1044,8,20969,1
400,1194,8,26757,1
450,1344,8,30338,1
500,1494,8,34165,1
10,24,8,453,1
20,54,8,1039,1
30,84,8,1900,1
40,114,8,2340,1
50,144,8,2881,1
