vertices,Edges,pathlength,time taken,iteration
10,38,8,799,1
20,188,8,1636,1
30,460,8,3774,1
40,800,8,6350,1
50,1262,8,8478,1
60,1832,8,11426,1
70,2476,8,14741,1
80,3218,8,15515,1
90,4106,8,18564,1
100,5062,8,20377,1
150,11280,8,46563,1
200,19992,8,81058,1
250,31284,8,126489,1
300,45092,8,185052,1
350,61276,8,210575,1
400,79594,8,262925,1
450,100786,8,352114,1
500,124468,8,401636,1
10,44,8,530,1
20,170,8,1473,1
30,424,8,2861,1
40,772,8,4255,1
50,1160,8,6055,1
60,1674,8,8095,1
70,2320,8,10646,1
80,3032,8,13316,1
90,3906,8,16325,1
100,4848,8,19831,1
150,11152,8,40868,1
200,19878,8,74622,1
250,31068,8,106231,1
300,44866,8,158685,1
350,61040,8,202283,1
400,79628,8,259236,1
450,101020,8,346105,1
500,124596,8,428272,1
10,44,8,519,1
20,194,8,1537,1
30,476,8,2889,1
40,802,8,4397,1
50,1234,8,6185,1
60,1752,8,8202,1
70,2338,8,10352,1
80,3102,8,13298,1
90,3928,8,16402,1
100,4838,8,19208,1
150,10994,8,39982,1
200,19700,8,70519,1
250,30834,8,123617,1
300,44480,8,179522,1
350,60848,8,236049,1
400,79612,8,260683,1
450,100526,8,328173,1
500,124374,8,501421,1
10,40,8,658,1
20,192,8,2013,1
30,422,8,3192,1
40,766,8,5755,1
50,1188,8,6657,1
60,1712,8,9844,1
70,2354,8,13700,1
80,3112,8,16585,1
90,3932,8,17991,1
100,4910,8,21942,1
150,11178,8,50147,1
200,19750,8,79207,1
250,31002,8,125032,1
300,44756,8,175886,1
350,60824,8,321366,1
400,79332,8,314907,1
450,100822,8,363204,1
500,124418,8,416315,1
10,48,8,558,1
20,198,8,1605,1
30,430,8,2897,1
40,788,8,4416,1
50,1210,8,6244,1
60,1760,8,8687,1
70,2380,8,10709,1
80,3146,8,13761,1
90,4068,8,18836,1
100,5048,8,24001,1
150,11400,8,48946,1
200,20382,8,84748,1
250,31564,8,127866,1
300,45158,8,176884,1
350,61444,8,212007,1
400,80328,8,279144,1
450,101812,8,344569,1
500,125254,8,435178,1
10,42,8,505,1
20,182,8,1566,1
30,426,8,3812,1
40,776,8,4677,1
50,1220,8,6943,1
60,1772,8,9136,1
70,2422,8,13127,1
80,3184,8,15080,1
90,4096,8,18495,1
100,4978,8,21125,1
150,11352,8,44260,1
200,19986,8,75310,1
250,31104,8,111426,1
300,44808,8,162451,1
350,61012,8,210827,1
400,79712,8,273076,1
450,101090,8,350997,1
500,124924,8,411799,1
10,38,8,559,1
20,184,8,1911,1
30,432,8,2754,1
40,746,8,4591,1
50,1180,8,6790,1
60,1736,8,9156,1
70,2416,8,12085,1
80,3174,8,14471,1
90,4078,8,17629,1
100,5058,8,20675,1
150,11218,8,45206,1
200,19892,8,77581,1
250,31080,8,110771,1
300,44502,8,154910,1
350,60984,8,209895,1
400,79562,8,297457,1
450,101046,8,359730,1
500,125448,8,477076,1
10,38,8,672,1
20,166,8,2026,1
30,420,8,2779,1
40,768,8,4786,1
50,1246,8,6727,1
60,1792,8,8751,1
70,2416,8,11374,1
80,3218,8,13943,1
90,4070,8,18006,1
100,4994,8,21361,1
150,11248,8,42635,1
200,20002,8,71775,1
250,31132,8,110505,1
300,45038,8,155387,1
350,61368,8,206810,1
400,80122,8,267278,1
450,101294,8,337377,1
500,125126,8,436970,1
10,44,8,638,1
20,194,8,2095,1
30,456,8,3514,1
40,798,8,5102,1
50,1234,8,7257,1
60,1768,8,9587,1
70,2412,8,12099,1
80,3192,8,17105,1
90,4044,8,18677,1
100,4980,8,22791,1
150,11358,8,44256,1
200,20108,8,73163,1
250,31292,8,109419,1
300,45046,8,155431,1
350,61264,8,206611,1
400,79882,8,263254,1
450,101002,8,332144,1
500,124812,8,469862,1
10,48,8,588,1
20,180,8,1491,1
30,446,8,2841,1
40,794,8,4320,1
50,1246,8,6500,1
60,1796,8,8322,1
70,2434,8,10619,1
80,3222,8,13477,1
90,4076,8,16563,1
100,5006,8,19783,1
150,11182,8,41244,1
200,19978,8,72858,1
250,31148,8,130868,1
300,45104,8,164977,1
350,61386,8,199949,1
400,79626,8,271344,1
450,100634,8,340152,1
500,124512,8,432537,1
10,48,8,593,1
20,190,8,2223,1
30,418,8,3580,1
40,748,8,5241,1
50,1176,8,6424,1
60,1734,8,9074,1
70,2400,8,12065,1
80,3124,8,15200,1
90,3974,8,18885,1
100,4872,8,23829,1
150,11096,8,48219,1
200,19858,8,122885,1
250,31076,8,119697,1
300,44630,8,154580,1
350,60748,8,228613,1
400,79598,8,300525,1
450,100420,8,379162,1
500,123934,8,423825,1
10,52,8,633,1
20,210,8,1594,1
30,442,8,2923,1
40,796,8,4418,1
50,1246,8,7112,1
60,1784,8,9111,1
70,2428,8,11225,1
80,3142,8,14309,1
90,3974,8,16804,1
100,4938,8,21450,1
150,11214,8,43456,1
200,19918,8,71645,1
250,31042,8,111506,1
300,44790,8,149225,1
350,61068,8,200115,1
400,79720,8,260162,1
450,100930,8,324546,1
500,124648,8,396485,1
10,38,8,508,1
20,162,8,1453,1
30,392,8,2627,1
40,720,8,4122,1
50,1156,8,5958,1
60,1710,8,8014,1
70,2336,8,10584,1
80,3106,8,14759,1
90,3986,8,16512,1
100,4856,8,18752,1
150,11008,8,40689,1
200,19970,8,69375,1
250,31080,8,104917,1
300,44856,8,148277,1
350,61104,8,203057,1
400,79760,8,259781,1
450,101012,8,324956,1
500,124690,8,397845,1
10,42,8,488,1
20,168,8,1425,1
30,400,8,3456,1
40,736,8,4058,1
50,1172,8,5893,1
60,1704,8,7978,1
70,2322,8,10279,1
80,3010,8,13252,1
90,3908,8,16193,1
100,4796,8,20067,1
150,10918,8,39118,1
200,19762,8,68346,1
250,31042,8,106837,1
300,44750,8,146920,1
350,60824,8,204340,1
400,79666,8,251729,1
450,100686,8,325556,1
500,124374,8,393361,1
10,48,8,618,1
20,214,8,1628,1
30,440,8,2905,1
40,790,8,4310,1
50,1232,8,6727,1
60,1762,8,8323,1
70,2428,8,10920,1
80,3190,8,14043,1
90,4060,8,17814,1
100,4976,8,19936,1
150,11214,8,40637,1
200,19974,8,68516,1
250,31300,8,106685,1
300,45152,8,154457,1
350,61438,8,202500,1
400,79760,8,260118,1
450,100868,8,330539,1
500,124500,8,401640,1
10,48,8,574,1
20,174,8,1458,1
30,436,8,2712,1
40,790,8,4200,1
50,1194,8,5925,1
60,1708,8,7847,1
70,2372,8,10344,1
80,3082,8,12746,1
90,3934,8,16775,1
100,4882,8,19231,1
150,11172,8,43015,1
200,19900,8,69823,1
250,31210,8,104507,1
300,44724,8,164948,1
350,61104,8,232723,1
400,80030,8,256528,1
450,101086,8,318364,1
500,124846,8,393996,1
10,50,8,580,1
20,194,8,1489,1
30,430,8,2700,1
40,768,8,4211,1
50,1218,8,5942,1
60,1784,8,8180,1
70,2448,8,10423,1
80,3196,8,13091,1
90,4078,8,17005,1
100,5018,8,19423,1
150,11116,8,42525,1
200,19734,8,70901,1
250,30814,8,103576,1
300,44534,8,144730,1
350,60816,8,197237,1
400,79380,8,258875,1
450,100534,8,333568,1
500,125216,8,396900,1
10,54,8,953,1
20,222,8,2066,1
30,486,8,2988,1
40,852,8,4808,1
50,1262,8,6311,1
60,1786,8,8603,1
70,2424,8,10359,1
