vertices,Edges,pathlength,time taken,iteration
10,24,3,121,3
20,54,4,237,2
30,84,4,98,1
40,114,5,402,2
50,144,5,275,1
60,174,5,306,1
70,204,6,736,1
80,234,6,874,1
90,264,6,965,1
100,294,6,1102,1
150,444,7,3685,1
200,594,7,4756,1
250,744,7,6117,1
300,894,8,16369,1
350,1044,8,18661,1
400,1194,8,23870,1
450,1344,8,25514,1
500,1494,8,27576,1
10,24,3,39,1
20,54,4,125,2
30,84,4,177,2
40,114,5,398,2
50,144,5,271,1
60,174,5,334,1
70,204,6,732,1
80,234,6,853,1
90,264,6,1039,1
100,294,6,1097,1
150,444,7,3462,1
200,594,7,5270,1
250,744,7,5971,1
300,894,8,16588,1
350,1044,8,18269,1
400,1194,8,60513,1
450,1344,8,35509,1
500,1494,8,30348,1
10,24,3,37,1
20,54,4,126,2
30,84,4,94,1
40,114,5,756,3
50,144,5,313,1
60,174,5,335,1
70,204,6,742,1
80,234,6,867,1
90,264,6,1150,1
100,294,6,1131,1
150,444,7,3528,1
200,594,7,4712,1
250,744,7,6251,1
300,894,8,15377,1
350,1044,8,18480,1
400,1194,8,21977,1
450,1344,8,28187,1
500,1494,8,30340,1
10,24,3,75,2
20,54,4,61,1
30,84,4,150,1
40,114,5,212,1
50,144,5,550,2
60,174,5,366,1
70,204,6,897,1
80,234,6,1492,1
90,264,6,1809,1
100,294,6,1374,1
150,444,7,5651,1
200,594,7,5266,1
250,744,7,7953,1
300,894,8,17284,1
350,1044,8,18618,1
400,1194,8,23232,1
450,1344,8,29237,1
500,1494,8,32834,1
10,24,3,94,3
20,54,4,67,1
30,84,4,95,1
40,114,5,449,2
50,144,5,288,1
60,174,5,321,1
70,204,6,752,1
80,234,6,1262,1
90,264,6,1152,1
100,294,6,1248,1
150,444,7,4042,1
200,594,7,5100,1
250,744,7,7301,1
300,894,8,16274,1
350,1044,8,19602,1
400,1194,8,22163,1
450,1344,8,24508,1
500,1494,8,26663,1
10,24,3,41,1
20,54,4,61,1
30,84,4,173,2
40,114,5,197,1
50,144,5,264,1
60,174,5,327,1
70,204,6,740,1
80,234,6,863,1
90,264,6,1005,1
100,294,6,1067,1
150,444,7,3630,1
200,594,7,4911,1
250,744,7,6122,1
300,894,8,16052,1
350,1044,8,18352,1
400,1194,8,23282,1
450,1344,8,23623,1
500,1494,8,27253,1
10,24,3,72,3
20,54,4,67,1
30,84,4,102,1
40,114,5,204,1
50,144,5,268,1
60,174,5,322,1
70,204,6,770,1
80,234,6,1012,1
90,264,6,970,1
100,294,6,1139,1
150,444,7,3384,1
200,594,7,4752,1
250,744,7,6396,1
300,894,8,14671,1
350,1044,8,18452,1
400,1194,8,21334,1
450,1344,8,26123,1
500,1494,8,26749,1
10,24,3,61,2
20,54,4,63,1
30,84,4,97,1
40,114,5,205,1
50,144,5,256,1
60,174,5,309,1
70,204,6,729,1
80,234,6,861,1
90,264,6,985,1
100,294,6,1088,1
150,444,7,3352,1
200,594,7,4838,1
250,744,7,6066,1
300,894,8,15987,1
350,1044,8,19324,1
400,1194,8,22387,1
450,1344,8,26359,1
500,1494,8,28212,1
10,24,3,35,1
20,54,4,63,1
30,84,4,186,2
40,114,5,216,1
50,144,5,264,1
60,174,5,645,2
70,204,6,781,1
80,234,6,877,1
90,264,6,1086,1
100,294,6,1242,1
150,444,7,3397,1
200,594,7,4733,1
250,744,7,6292,1
300,894,8,14831,1
350,1044,8,18270,1
400,1194,8,21035,1
450,1344,8,23852,1
500,1494,8,28010,1
10,24,3,78,1
20,54,4,63,1
30,84,4,115,1
40,114,5,247,1
50,144,5,373,1
60,174,5,662,2
70,204,6,954,1
80,234,6,982,1
90,264,6,931,1
100,294,6,1176,1
150,444,7,3484,1
200,594,7,4914,1
250,744,7,6148,1
300,894,8,15023,1
350,1044,8,18100,1
400,1194,8,21030,1
450,1344,8,24070,1
500,1494,8,26819,1
10,24,3,34,1
20,54,4,62,1
30,84,4,86,1
