vertices,Edges,pathlength,time taken,iteration
10,48,3,188,2
20,196,4,224,1
30,418,4,343,1
40,742,5,1012,1
50,1200,5,1447,1
60,1756,5,1882,1
70,2354,6,5564,1
80,3058,6,6571,1
90,3894,6,8570,1
100,4866,6,10222,1
150,10942,7,49816,1
200,19652,7,79452,1
250,31134,7,101404,1
300,44956,8,229902,1
350,61062,8,293104,1
400,79784,8,429603,1
450,101000,8,506307,1
500,124782,8,711392,1
10,52,3,319,1
20,204,4,185,1
30,468,4,388,1
40,786,5,1168,1
50,1262,5,1438,1
60,1816,5,1592,1
70,2454,6,4163,1
80,3182,6,8675,1
90,4046,6,8874,1
100,4992,6,11982,1
150,11300,7,46064,1
200,20032,7,67760,1
250,31280,7,99079,1
300,44902,8,224193,1
350,61262,8,287017,1
400,79350,8,423109,1
450,100588,8,521479,1
500,124552,8,579968,1
10,46,3,61,1
20,194,4,243,2
30,426,4,198,1
40,778,5,721,1
50,1224,5,1062,1
60,1784,5,1462,1
70,2440,6,3905,1
80,3216,6,4883,1
90,4060,6,6054,1
100,4996,6,7310,1
150,11118,7,31516,1
200,19838,7,57052,1
250,30906,7,90751,1
300,44642,8,401424,1
350,60718,8,295777,1
400,79288,8,523283,1
450,101014,8,578777,1
500,124832,8,632087,1
10,42,3,164,1
20,198,4,257,1
30,448,4,462,1
40,804,5,1409,1
50,1256,5,1943,1
60,1816,5,2754,1
70,2464,6,7502,1
80,3176,6,9307,1
90,4034,6,11284,1
100,4988,6,13511,1
150,11434,7,59531,1
200,20180,7,100971,1
250,31422,7,154083,1
300,44802,8,433410,1
350,61014,8,371385,1
400,79654,8,508553,1
450,100966,8,474227,1
500,124822,8,611354,1
10,62,3,60,1
20,204,4,144,1
30,450,4,259,1
40,800,5,1262,2
50,1214,5,1068,1
60,1756,5,1380,1
70,2418,6,3814,1
80,3154,6,4748,1
90,4036,6,6090,1
100,4982,6,7285,1
150,11198,7,27890,1
200,19852,7,47630,1
250,31102,7,78336,1
300,44746,8,185395,1
350,60766,8,276696,1
400,79552,8,393843,1
450,100670,8,480041,1
500,125362,8,644010,1
10,40,3,57,1
20,198,4,164,1
30,438,4,267,1
40,796,5,783,1
50,1210,5,1066,1
60,1754,5,1464,1
70,2364,6,5050,1
80,3132,6,5911,1
90,3918,6,7260,1
100,4854,6,8688,1
150,11166,7,37990,1
200,19808,7,64586,1
250,31100,7,99675,1
300,44706,8,223784,1
350,61074,8,276483,1
400,79876,8,373575,1
450,100844,8,732181,1
500,124532,8,755632,1
10,46,3,65,1
20,168,4,148,1
30,414,4,237,1
40,764,5,733,1
50,1200,5,1048,1
60,1738,5,1368,1
70,2400,6,3893,1
80,3172,6,4820,1
90,4000,6,6129,1
100,4938,6,7200,1
150,11188,7,30288,1
200,19914,7,52835,1
250,31214,7,61502,1
300,45084,8,221115,1
350,60912,8,369540,1
400,79648,8,402638,1
450,100990,8,845843,2
500,125182,8,549422,1
10,48,3,61,1
20,210,4,149,1
30,464,4,256,1
40,802,5,750,1
50,1264,5,1122,1
60,1848,5,1550,1
70,2500,6,4068,1
80,3234,6,5069,1
90,4056,6,6374,1
100,4976,6,7457,1
150,11306,7,31926,1
200,20044,7,55931,1
250,31136,7,77159,1
300,44894,8,348236,1
350,60694,8,388919,1
400,79380,8,424168,1
450,100700,8,613064,1
500,124690,8,704988,1
10,34,3,143,1
20,176,4,383,1
30,416,4,632,1
40,758,5,1220,1
50,1192,5,1923,1
60,1742,5,2095,1
70,2410,6,5851,1
80,3146,6,5681,1
90,3982,6,8084,1
100,4896,6,9176,1
150,11180,7,39518,1
200,20004,7,56464,1
250,31246,7,98783,1
300,45034,8,219433,1
350,61100,8,279245,1
400,80104,8,383666,1
450,101336,8,565695,1
500,124728,8,677930,1
10,48,3,82,1
20,190,4,139,1
30,418,4,233,1
40,760,5,734,1
50,1188,5,1020,1
60,1720,5,1424,1
70,2354,6,3823,1
80,3122,6,4937,1
90,3956,6,5787,1
100,4928,6,7188,1
