vertices,Edges,pathlength,time taken,iteration
10,45.0,3.0,157.65,1.7
20,191.6,4.0,220.85,1.05
30,437.1,4.0,376.6,1.0
40,784.7,5.0,1084.1,1.1
50,1225.8,5.0,1580.2,1.0
60,1769.8,5.0,2022.65,1.0
70,2410.8,6.0,5437.8,1.0
80,3156.5,6.0,7145.55,1.0
90,4009.5,6.0,8290.15,1.0
100,4945.2,6.0,10364.45,1.0
150,11183.5,7.0,40695.75,1.0
200,19943.3,7.0,64704.2,1.0
250,31191.7,7.0,106033.95,1.0
300,44868.4,8.0,315461.25,1.0
350,61004.6,8.0,380096.7,1.0
400,79657.3,8.0,469425.4,1.0
450,100970.5,8.0,681633.6,1.05
500,124817.2,8.0,825205.95,1.0
