vertices,Edges,pathlength,time taken,iteration
10,90,3,86,2
20,380,4,131,1
30,870,4,221,1
40,1560,5,720,1
50,2450,5,1038,1
60,3540,5,1521,1
70,4830,6,4169,1
80,6320,6,5278,1
90,8010,6,6846,1
100,9900,6,7987,1
150,22350,7,37215,1
200,39800,7,64031,1
250,62250,7,132702,1
300,89700,8,288889,1
350,122150,8,390000,1
400,159600,8,509626,1
450,202050,8,637888,1
500,249500,8,807394,1
10,90,3,39,1
20,380,4,106,1
30,870,4,212,1
40,1560,5,1101,2
50,2450,5,1068,1
60,3540,5,1726,1
70,4830,6,4262,1
80,6320,6,5290,1
90,8010,6,6823,1
100,9900,6,7889,1
150,22350,7,36772,1
200,39800,7,67792,1
250,62250,7,102745,1
300,89700,8,300729,1
350,122150,8,408007,1
400,159600,8,526033,1
450,202050,8,710493,1
500,249500,8,817545,1
10,90,3,42,1
20,380,4,145,1
30,870,4,343,2
40,1560,5,762,1
50,2450,5,1149,1
60,3540,5,1451,1
70,4830,6,4093,1
80,6320,6,5552,1
90,8010,6,6562,1
100,9900,6,8123,1
150,22350,7,36404,1
200,39800,7,63047,1
250,62250,7,98531,1
300,89700,8,289412,1
350,122150,8,402217,1
400,159600,8,513760,1
450,202050,8,648319,1
500,249500,8,819184,1
10,90,3,73,1
20,380,4,165,1
30,870,4,278,1
40,1560,5,1014,1
50,2450,5,1581,1
60,3540,5,2086,1
70,4830,6,5545,1
80,6320,6,5460,1
90,8010,6,7106,1
100,9900,6,8250,1
150,22350,7,37098,1
200,39800,7,62600,1
250,62250,7,98001,1
300,89700,8,304501,1
350,122150,8,406303,1
400,159600,8,521013,1
450,202050,8,645461,1
500,249500,8,805441,1
10,90,3,38,1
20,380,4,115,1
30,870,4,198,1
40,1560,5,674,1
50,2450,5,1041,1
60,3540,5,1585,1
70,4830,6,4105,1
80,6320,6,5208,1
90,8010,6,6871,1
100,9900,6,7895,1
150,22350,7,44045,1
200,39800,7,68563,1
250,62250,7,98532,1
300,89700,8,299533,1
350,122150,8,396828,1
400,159600,8,558603,1
450,202050,8,656738,1
500,249500,8,779812,1
10,90,3,38,1
20,380,4,112,1
30,870,4,220,1
40,1560,5,948,1
50,2450,5,1151,1
60,3540,5,1482,1
70,4830,6,4534,1
80,6320,6,6134,1
90,8010,6,6640,1
100,9900,6,9197,1
150,22350,7,38991,1
200,39800,7,64318,1
250,62250,7,96362,1
300,89700,8,293333,1
350,122150,8,393608,1
400,159600,8,521060,1
450,202050,8,653603,1
500,249500,8,796744,1
10,90,3,39,1
20,380,4,119,1
30,870,4,252,1
40,1560,5,739,1
50,2450,5,1554,1
60,3540,5,1485,1
70,4830,6,4096,1
80,6320,6,5618,1
90,8010,6,6605,1
100,9900,6,9079,1
150,22350,7,37335,1
200,39800,7,65002,1
250,62250,7,104826,1
300,89700,8,300665,1
350,122150,8,395763,1
400,159600,8,522617,1
450,202050,8,640767,1
500,249500,8,803848,1
10,90,3,64,2
20,380,4,111,1
30,870,4,199,1
40,1560,5,705,1
50,2450,5,1803,2
60,3540,5,1444,1
70,4830,6,4976,1
80,6320,6,5162,1
90,8010,6,7035,1
100,9900,6,7883,1
150,22350,7,40087,1
200,39800,7,63858,1
250,62250,7,97542,1
300,89700,8,298486,1
350,122150,8,444720,1
400,159600,8,507145,1
450,202050,8,646525,1
500,249500,8,789721,1
10,90,3,58,2
20,380,4,109,1
30,870,4,223,1
40,1560,5,725,1
50,2450,5,1018,1
60,3540,5,1452,1
70,4830,6,4770,1
80,6320,6,5293,1
90,8010,6,6813,1
100,9900,6,8079,1
150,22350,7,36453,1
200,39800,7,63247,1
250,62250,7,97020,1
300,89700,8,283680,1
350,122150,8,391102,1
400,159600,8,512028,1
450,202050,8,645058,1
500,249500,8,779276,1
10,90,3,82,2
20,380,4,257,3
30,870,4,224,1
40,1560,5,690,1
50,2450,5,1031,1
60,3540,5,1451,1
70,4830,6,4249,1
80,6320,6,5339,1
90,8010,6,6839,1
100,9900,6,7744,1
150,22350,7,36413,1
200,39800,7,63410,1
250,62250,7,98660,1
300,89700,8,287827,1
350,122150,8,393541,1
400,159600,8,508467,1
450,202050,8,646163,1
500,249500,8,789163,1
10,90,3,37,1
20,380,4,112,1
30,870,4,211,1
40,1560,5,703,1
50,2450,5,1534,1
60,3540,5,1632,1
70,4830,6,4070,1
80,6320,6,5441,1
90,8010,6,6664,1
100,9900,6,8343,1
150,22350,7,36541,1
200,39800,7,64297,1
250,62250,7,98681,1
300,89700,8,289734,1
350,122150,8,390792,1
400,159600,8,504286,1
450,202050,8,647885,1
500,249500,8,783671,1
10,90,3,54,2
20,380,4,193,2
30,870,4,205,1
40,1560,5,790,1
50,2450,5,1197,1
60,3540,5,1433,1
70,4830,6,4016,1
80,6320,6,5739,1
90,8010,6,6526,1
100,9900,6,8461,1
150,22350,7,37141,1
200,39800,7,63009,1
250,62250,7,105776,1
300,89700,8,287423,1
350,122150,8,390797,1
400,159600,8,509351,1
450,202050,8,644427,1
500,249500,8,779482,1
