vertices,Edges,pathlength,time taken,iteration
10,24,3,70,1
20,54,4,102,1
30,84,4,352,1
40,114,5,211,1
50,144,5,340,1
60,174,5,342,1
70,204,6,906,1
80,234,6,1413,1
90,264,6,1381,1
100,294,6,1498,1
150,444,7,5804,1
200,594,7,6309,1
250,744,7,8833,1
300,894,8,25106,1
350,1044,8,30121,1
400,1194,8,30148,1
450,1344,8,31181,1
500,1494,8,37114,1
10,24,3,45,1
20,54,4,108,1
30,84,4,178,1
40,114,5,355,1
50,144,5,552,1
60,174,5,641,1
70,204,6,887,1
80,234,6,1107,1
90,264,6,1299,1
100,294,6,1165,1
150,444,7,4440,1
200,594,7,5726,1
250,744,7,7280,1
300,894,8,20149,1
350,1044,8,26965,1
400,1194,8,27032,1
450,1344,8,32275,1
500,1494,8,38210,1
10,24,3,486,1
20,54,4,58,1
30,84,4,80,1
40,114,5,256,1
50,144,5,260,1
60,174,5,393,1
70,204,6,908,1
80,234,6,1704,1
90,264,6,1166,1
100,294,6,1207,1
150,444,7,4056,1
200,594,7,6964,1
250,744,7,7126,1
300,894,8,20633,1
350,1044,8,28286,1
400,1194,8,30745,1
450,1344,8,35321,1
500,1494,8,39818,1
10,24,3,52,1
20,54,4,56,1
30,84,4,77,1
40,114,5,218,1
50,144,5,255,1
60,174,5,308,1
70,204,6,826,1
80,234,6,929,1
90,264,6,1056,1
100,294,6,1211,1
150,444,7,5298,1
200,594,7,5387,1
250,744,7,6750,1
300,894,8,20830,1
350,1044,8,25192,1
400,1194,8,29503,1
450,1344,8,30719,1
500,1494,8,33021,1
10,24,3,37,1
20,54,4,61,1
30,84,4,88,1
40,114,5,266,1
50,144,5,343,1
60,174,5,371,1
70,204,6,1185,1
80,234,6,1175,1
90,264,6,1176,1
100,294,6,1157,1
150,444,7,4027,1
200,594,7,5359,1
250,744,7,8308,1
300,894,8,19851,1
350,1044,8,22638,1
400,1194,8,25108,1
450,1344,8,35463,1
500,1494,8,36032,1
10,24,3,29,1
20,54,4,67,1
30,84,4,78,1
40,114,5,214,1
50,144,5,259,1
60,174,5,315,1
70,204,6,896,1
80,234,6,930,1
90,264,6,1039,1
100,294,6,1158,1
150,444,7,5335,1
200,594,7,5957,1
250,744,7,6804,1
300,894,8,22102,1
350,1044,8,23646,1
400,1194,8,25998,1
450,1344,8,29777,1
500,1494,8,31950,1
10,24,3,29,1
20,54,4,60,1
30,84,4,77,1
40,114,5,220,1
50,144,5,255,1
60,174,5,313,1
70,204,6,818,1
80,234,6,929,1
90,264,6,1045,1
100,294,6,1257,1
150,444,7,4247,1
200,594,7,5322,1
250,744,7,6872,1
300,894,8,20015,1
350,1044,8,21484,1
400,1194,8,24466,1
450,1344,8,27806,1
500,1494,8,30732,1
10,24,3,35,1
20,54,4,55,1
30,84,4,77,1
40,114,5,206,1
50,144,5,262,1
60,174,5,298,1
70,204,6,830,1
80,234,6,932,1
90,264,6,1048,1
100,294,6,1153,1
150,444,7,4000,1
200,594,7,5426,1
250,744,7,6750,1
300,894,8,18480,1
350,1044,8,21450,1
400,1194,8,25347,1
450,1344,8,28300,1
500,1494,8,30994,1
10,24,3,33,1
20,54,4,54,1
30,84,4,78,1
40,114,5,203,1
50,144,5,242,1
60,174,5,291,1
70,204,6,800,1
80,234,6,934,1
90,264,6,1042,1
100,294,6,1156,1
150,444,7,4180,1
200,594,7,5299,1
250,744,7,6611,1
300,894,8,18681,1
350,1044,8,21886,1
400,1194,8,24517,1
450,1344,8,27666,1
500,1494,8,32718,1
10,24,3,31,1
20,54,4,83,1
30,84,4,131,1
40,114,5,222,1
50,144,5,305,1
60,174,5,435,1
70,204,6,968,1
80,234,6,882,1
90,264,6,1008,1
100,294,6,1180,1
150,444,7,3891,1
200,594,7,5167,1
250,744,7,7008,1
300,894,8,19080,1
350,1044,8,21263,1
400,1194,8,24767,1
450,1344,8,27710,1
500,1494,8,31694,1
10,24,3,32,1
20,54,4,53,1
30,84,4,84,1
40,114,5,207,1
50,144,5,252,1
60,174,5,294,1
70,204,6,804,1
80,234,6,898,1
90,264,6,1019,1
100,294,6,1135,1
150,444,7,4168,1
200,594,7,5493,1
250,744,7,6621,1
300,894,8,18845,1
350,1044,8,21578,1
400,1194,8,24569,1
450,1344,8,27741,1
500,1494,8,31676,1
10,24,3,29,1
20,54,4,59,1
30,84,4,77,1
