vertices,Edges,pathlength,time taken,iteration
10,42,3,133,1
20,196,4,243,1
30,424,4,590,1
40,782,5,1403,1
50,1236,5,1879,1
60,1794,5,2190,1
70,2460,6,6240,1
80,3196,6,7925,1
90,4054,6,9994,1
100,4994,6,11672,1
150,11234,7,51627,1
200,19886,7,64036,1
250,31202,7,106257,1
300,44866,8,242162,1
350,61082,8,407946,1
400,79880,8,468486,1
450,100824,8,553281,1
500,124598,8,894287,1
10,44,3,51,1
20,170,4,123,1
30,436,4,224,1
40,760,5,725,1
50,1180,5,1039,1
60,1756,5,1798,1
70,2366,6,4345,1
80,3060,6,5083,1
90,3890,6,6403,1
100,4774,6,7391,1
150,10930,7,33364,1
200,19686,7,85579,1
250,30878,7,160648,1
300,44586,8,332625,1
350,60722,8,425410,1
400,79214,8,674254,1
450,101218,8,685184,1
500,124718,8,868341,1
10,24,3,63,1
20,172,4,141,1
30,422,4,198,1
40,764,5,738,1
50,1230,5,1122,1
60,1768,5,1504,1
70,2422,6,5113,1
80,3164,6,5539,1
90,4014,6,6393,1
100,4942,6,7959,1
150,11308,7,37753,1
200,19934,7,45156,1
250,31064,7,70627,1
300,44532,8,405350,1
350,60576,8,375411,1
400,79438,8,457073,1
450,100888,8,1196259,1
500,124580,8,569778,1
10,58,3,44,1
20,222,4,123,1
30,464,4,209,1
40,826,5,697,1
50,1274,5,987,1
60,1800,5,1306,1
70,2450,6,4104,1
80,3192,6,5149,1
90,4026,6,6913,1
100,4980,6,8512,1
150,11058,7,39255,1
200,19930,7,72690,1
250,31118,7,154112,1
300,44746,8,280735,1
350,61060,8,378229,1
400,79914,8,621733,1
450,101622,8,513880,1
500,125346,8,826782,1
10,46,3,54,1
20,196,4,216,1
30,444,4,260,1
40,790,5,847,1
50,1222,5,1362,1
60,1752,5,1657,1
70,2394,6,4765,1
80,3158,6,5970,1
90,4038,6,8128,1
100,4992,6,9927,1
150,11288,7,43774,1
200,19928,7,74697,1
250,31208,7,113386,1
300,45176,8,294773,1
350,61314,8,351497,1
400,80086,8,371423,1
450,100862,8,379010,1
500,124576,8,482840,1
10,38,3,44,1
20,178,4,123,1
30,462,4,232,1
40,800,5,734,1
50,1222,5,1026,1
60,1728,5,1365,1
70,2388,6,3869,1
80,3108,6,4891,1
90,3952,6,6007,1
100,4942,6,7035,1
150,11052,7,29790,1
200,19816,7,43292,1
250,31016,7,56806,1
300,44654,8,217328,1
350,60664,8,251551,1
400,79350,8,545004,1
450,101020,8,887792,1
500,124906,8,923849,1
10,42,3,38,1
20,182,4,108,1
30,428,4,190,1
40,776,5,625,1
50,1254,5,1039,1
60,1802,5,1242,1
