vertices,Edges,pathlength,time taken,iteration
10,24,3,77,1
20,54,4,102,1
30,84,4,319,1
40,114,5,370,1
50,144,5,585,1
60,174,5,451,1
70,204,6,1163,1
80,234,6,888,1
90,264,6,1274,1
100,294,6,1132,1
150,444,7,6760,1
200,594,7,6539,1
250,744,7,9982,1
300,894,8,21917,1
350,1044,8,22841,1
400,1194,8,24353,1
450,1344,8,30881,1
500,1494,8,32917,1
10,24,3,49,1
20,54,4,96,1
30,84,4,129,1
40,114,5,286,1
50,144,5,513,1
60,174,5,495,1
70,204,6,1234,1
80,234,6,1309,1
90,264,6,1281,1
100,294,6,1114,1
150,444,7,4627,1
200,594,7,5352,1
250,744,7,7281,1
300,894,8,21226,1
350,1044,8,21702,1
400,1194,8,27007,1
450,1344,8,31041,1
500,1494,8,66775,1
10,24,3,131,1
20,54,4,70,1
30,84,4,101,1
40,114,5,301,1
50,144,5,354,1
60,174,5,430,1
70,204,6,913,1
80,234,6,984,1
90,264,6,1163,1
100,294,6,1138,1
150,444,7,3980,1
200,594,7,8810,1
250,744,7,10522,1
300,894,8,19522,1
350,1044,8,22843,1
400,1194,8,25218,1
450,1344,8,31128,1
500,1494,8,31339,1
10,24,3,56,1
20,54,4,81,1
30,84,4,116,1
40,114,5,317,1
50,144,5,343,1
60,174,5,395,1
70,204,6,771,1
80,234,6,1222,1
90,264,6,1367,1
100,294,6,1285,1
150,444,7,5613,1
200,594,7,6739,1
250,744,7,8117,1
300,894,8,19919,1
350,1044,8,22943,1
400,1194,8,24822,1
450,1344,8,30904,1
500,1494,8,37297,1
10,24,3,34,1
20,54,4,66,1
30,84,4,91,1
40,114,5,222,1
50,144,5,278,1
60,174,5,354,1
70,204,6,991,1
80,234,6,972,1
90,264,6,1369,1
100,294,6,1375,1
150,444,7,4162,1
200,594,7,5823,1
250,744,7,7190,1
300,894,8,18767,1
350,1044,8,22282,1
400,1194,8,28704,1
450,1344,8,27926,1
500,1494,8,33350,1
10,24,3,34,1
20,54,4,55,1
30,84,4,80,1
40,114,5,220,1
50,144,5,289,1
60,174,5,517,1
70,204,6,1061,1
80,234,6,1386,1
90,264,6,1614,1
100,294,6,1676,1
150,444,7,4575,1
200,594,7,5611,1
250,744,7,8240,1
300,894,8,19662,1
350,1044,8,23248,1
400,1194,8,24973,1
450,1344,8,32783,1
500,1494,8,31828,1
10,24,3,30,1
20,54,4,55,1
30,84,4,84,1
40,114,5,195,1
50,144,5,247,1
60,174,5,358,1
70,204,6,928,1
80,234,6,1227,1
90,264,6,1120,1
100,294,6,1088,1
150,444,7,3961,1
200,594,7,5665,1
250,744,7,7465,1
300,894,8,20070,1
350,1044,8,23604,1
400,1194,8,24685,1
450,1344,8,27054,1
500,1494,8,29982,1
10,24,3,38,1
20,54,4,57,1
30,84,4,83,1
40,114,5,211,1
50,144,5,278,1
60,174,5,322,1
70,204,6,876,1
80,234,6,993,1
90,264,6,1023,1
100,294,6,1272,1
150,444,7,4180,1
200,594,7,5331,1
250,744,7,6733,1
300,894,8,19221,1
350,1044,8,20869,1
400,1194,8,22312,1
450,1344,8,25399,1
500,1494,8,28841,1
10,24,3,34,1
20,54,4,54,1
30,84,4,82,1
40,114,5,265,1
50,144,5,273,1
60,174,5,346,1
70,204,6,955,1
80,234,6,873,1
90,264,6,962,1
100,294,6,1071,1
150,444,7,3847,1
200,594,7,4966,1
250,744,7,6940,1
300,894,8,18476,1
350,1044,8,19693,1
400,1194,8,21894,1
450,1344,8,26920,1
500,1494,8,29252,1
10,24,3,30,1
20,54,4,55,1
30,84,4,82,1
40,114,5,197,1
50,144,5,242,1
60,174,5,303,1
70,204,6,735,1
80,234,6,867,1
90,264,6,1038,1
100,294,6,1321,1
150,444,7,3560,1
200,594,7,4884,1
250,744,7,7214,1
300,894,8,16537,1
350,1044,8,19704,1
400,1194,8,22285,1
450,1344,8,24473,1
500,1494,8,27137,1
10,24,3,37,1
20,54,4,54,1
30,84,4,94,1
40,114,5,200,1
50,144,5,342,1
60,174,5,344,1
70,204,6,766,1
80,234,6,856,1
90,264,6,964,1
100,294,6,1076,1
150,444,7,3938,1
200,594,7,4897,1
250,744,7,6164,1
300,894,8,17653,1
350,1044,8,21989,1
400,1194,8,22082,1
450,1344,8,24512,1
500,1494,8,29028,1
10,24,3,45,1
20,54,4,55,1
30,84,4,80,1
40,114,5,208,1
50,144,5,249,1
60,174,5,305,1
70,204,6,753,1
80,234,6,856,1
90,264,6,966,1
100,294,6,1157,1
150,444,7,3606,1
200,594,7,4935,1
250,744,7,6218,1
300,894,8,16178,1
350,1044,8,19321,1
400,1194,8,21619,1
450,1344,8,24815,1
500,1494,8,27762,1
10,24,3,30,1
20,54,4,54,1
30,84,4,83,1
40,114,5,197,1
50,144,5,242,1
60,174,5,292,1
70,204,6,758,1
80,234,6,1823,1
90,264,6,1432,1
100,294,6,1065,1
150,444,7,3713,1
200,594,7,4937,1
250,744,7,6372,1
300,894,8,16445,1
350,1044,8,19134,1
400,1194,8,21967,1
450,1344,8,24607,1
500,1494,8,31340,1
10,24,3,36,1
20,54,4,58,1
30,84,4,84,1
40,114,5,211,1
50,144,5,246,1
60,174,5,335,1
70,204,6,918,1
80,234,6,1437,1
90,264,6,1482,1
100,294,6,1713,1
150,444,7,4465,1
200,594,7,8156,1
250,744,7,8934,1
300,894,8,21494,1
350,1044,8,25705,1
400,1194,8,25546,1
450,1344,8,27490,1
500,1494,8,32694,1
10,24,3,52,1
20,54,4,81,1
30,84,4,105,1
40,114,5,252,1
50,144,5,363,1
60,174,5,375,1
70,204,6,841,1
80,234,6,890,1
90,264,6,1258,1
100,294,6,1352,1
150,444,7,4119,1
200,594,7,5777,1
250,744,7,7356,1
300,894,8,19232,1
350,1044,8,22050,1
400,1194,8,25890,1
450,1344,8,30821,1
500,1494,8,29623,1
10,24,3,34,1
20,54,4,54,1
30,84,4,128,1
40,114,5,255,1
50,144,5,289,1
60,174,5,396,1
70,204,6,835,1
80,234,6,986,1
90,264,6,1388,1
100,294,6,1635,1
150,444,7,4265,1
200,594,7,5100,1
250,744,7,6563,1
300,894,8,17702,1
350,1044,8,20933,1
400,1194,8,22579,1
450,1344,8,25946,1
500,1494,8,27860,1
10,24,3,34,1
20,54,4,55,1
30,84,4,79,1
40,114,5,194,1
50,144,5,245,1
60,174,5,312,1
70,204,6,756,1
80,234,6,860,1
90,264,6,966,1
100,294,6,1225,1
150,444,7,3668,1
200,594,7,5081,1
250,744,7,6281,1
300,894,8,17416,1
350,1044,8,19103,1
400,1194,8,22017,1
450,1344,8,24467,1
500,1494,8,27116,1
10,24,3,30,1
20,54,4,57,1
30,84,4,79,1
40,114,5,198,1
50,144,5,242,1
60,174,5,303,1
70,204,6,755,1
80,234,6,874,1
90,264,6,1225,1
100,294,6,1083,1
150,444,7,3607,1
200,594,7,4950,1
250,744,7,6186,1
300,894,8,16215,1
350,1044,8,18833,1
400,1194,8,22241,1
450,1344,8,25338,1
500,1494,8,26970,1
10,24,3,34,1
20,54,4,54,1
30,84,4,82,1
40,114,5,194,1
50,144,5,244,1
60,174,5,294,1
70,204,6,772,1
80,234,6,967,1
90,264,6,970,1
100,294,6,1076,1
150,444,7,3555,1
200,594,7,4967,1
250,744,7,6142,1
300,894,8,16129,1
350,1044,8,18923,1
400,1194,8,21781,1
450,1344,8,24444,1
500,1494,8,27045,1
10,24,3,34,1
20,54,4,54,1
30,84,4,79,1
40,114,5,198,1
50,144,5,241,1
60,174,5,301,1
70,204,6,750,1
80,234,6,986,1
90,264,6,972,1
100,294,6,1077,1
150,444,7,3558,1
200,594,7,5155,1
250,744,7,6201,1
300,894,8,16287,1
350,1044,8,18950,1
400,1194,8,21732,1
450,1344,8,24503,1
500,1494,8,27022,1
