vertices,Edges,pathlength,time taken,iteration
10,24,8,23434,50
20,54,8,1904,2
30,84,8,2980,2
40,114,8,1867,1
50,144,8,2396,1
60,174,8,4150,1
70,204,8,3400,1
80,234,8,4048,1
90,264,8,4883,1
100,294,8,5287,1
150,444,8,7460,1
200,594,8,9881,1
250,744,8,12208,1
300,894,8,15783,1
350,1044,8,18473,1
400,1194,8,22751,1
450,1344,8,25333,1
500,1494,8,27962,1
10,24,8,6135,13
20,54,8,1888,2
30,84,8,1399,1
40,114,8,3855,2
50,144,8,2299,1
60,174,8,2880,1
70,204,8,3345,1
80,234,8,3902,1
90,264,8,4244,1
100,294,8,4835,1
150,444,8,7611,1
200,594,8,11108,1
250,744,8,12639,1
300,894,8,15854,1
350,1044,8,18395,1
400,1194,8,21266,1
450,1344,8,24369,1
500,1494,8,27705,1
10,24,8,490,1
20,54,8,2771,3
30,84,8,2800,2
40,114,8,1865,1
50,144,8,2421,1
60,174,8,2857,1
70,204,8,3357,1
80,234,8,7986,2
90,264,8,4589,1
100,294,8,5093,1
150,444,8,7226,1
200,594,8,10198,1
250,744,8,12798,1
300,894,8,16048,1
350,1044,8,19111,1
400,1194,8,22290,1
450,1344,8,25193,1
500,1494,8,27868,1
10,24,8,26550,58
20,54,8,936,1
30,84,8,1432,1
40,114,8,2226,1
50,144,8,2333,1
60,174,8,5796,2
70,204,8,3269,1
80,234,8,4060,1
90,264,8,21133,5
100,294,8,5069,1
150,444,8,7758,1
200,594,8,10009,1
250,744,8,13101,1
300,894,8,15733,1
350,1044,8,19135,1
400,1194,8,21291,1
450,1344,8,25033,1
500,1494,8,28357,1
10,24,8,20153,44
20,54,8,2703,3
30,84,8,1399,1
40,114,8,3695,2
50,144,8,2385,1
60,174,8,2892,1
70,204,8,211249,65
80,234,8,4105,1
90,264,8,4496,1
100,294,8,5155,1
150,444,8,7665,1
200,594,8,11632,1
250,744,8,13286,1
300,894,8,16454,1
350,1044,8,20203,1
400,1194,8,23632,1
450,1344,8,25227,1
500,1494,8,30038,1
10,24,8,10386,21
20,54,8,2758,3
30,84,8,1374,1
40,114,8,2208,1
50,144,8,2457,1
60,174,8,2854,1
70,204,8,3989,1
80,234,8,4237,1
90,264,8,4575,1
100,294,8,5377,1
150,444,8,15988,2
200,594,8,10906,1
250,744,8,13697,1
300,894,8,16073,1
350,1044,8,19793,1
400,1194,8,23091,1
450,1344,8,25483,1
500,1494,8,30470,1
10,24,8,19922,42
20,54,8,4161,4
30,84,8,1376,1
40,114,8,1846,1
50,144,8,2687,1
60,174,8,2924,1
70,204,8,3576,1
80,234,8,4110,1
90,264,8,4898,1
100,294,8,5237,1
150,444,8,7744,1
200,594,8,10405,1
250,744,8,13735,1
300,894,8,16526,1
350,1044,8,19301,1
400,1194,8,22163,1
450,1344,8,54205,1
500,1494,8,42091,1
10,24,8,13576,27
20,54,8,2887,3
30,84,8,1831,1
40,114,8,3729,2
50,144,8,2621,1
60,174,8,2936,1
70,204,8,3657,1
80,234,8,3827,1
90,264,8,4583,1
