vertices,Edges,pathlength,time taken,iteration
10,24.0,8.0,19975.6,42.6
20,54.0,8.0,3120.2,3.25
30,84.0,8.0,2247.9,1.5
40,114.0,8.0,3320.95,1.75
50,144.0,8.0,2596.2,1.05
60,174.0,8.0,3278.9,1.1
70,204.0,8.0,13873.9,4.2
80,234.0,8.0,4318.75,1.05
90,264.0,8.0,5329.5,1.2
100,294.0,8.0,5055.6,1.0
150,444.0,8.0,8380.35,1.1
200,594.0,8.0,10398.2,1.0
250,744.0,8.0,13712.15,1.05
300,894.0,8.0,16949.0,1.05
350,1044.0,8.0,19167.25,1.0
400,1194.0,8.0,22651.65,1.0
450,1344.0,8.0,26855.7,1.0
500,1494.0,8.0,29823.15,1.0
