vertices,Edges,pathlength,time taken,iteration
10,90,8,33942,64
20,380,8,2180,1
30,870,8,4157,1
40,1560,8,10996,2
50,2450,8,10575,1
60,3540,8,13763,1
70,4830,8,18385,1
80,6320,8,23958,1
90,8010,8,32700,1
100,9900,8,36122,1
150,22350,8,76681,1
200,39800,8,131217,1
250,62250,8,205023,1
300,89700,8,284863,1
350,122150,8,396965,1
400,159600,8,513015,1
450,202050,8,632741,1
500,249500,8,771794,1
10,90,8,2303,4
20,380,8,2190,1
30,870,8,7188,2
40,1560,8,7106,1
50,2450,8,9880,1
60,3540,8,13825,1
70,4830,8,18156,1
80,6320,8,23579,1
90,8010,8,28924,1
100,9900,8,34839,1
150,22350,8,74756,1
200,39800,8,129081,1
250,62250,8,189037,1
300,89700,8,286942,1
350,122150,8,387872,1
400,159600,8,507698,1
450,202050,8,640561,1
500,249500,8,754853,1
10,90,8,39437,72
20,380,8,2115,1
30,870,8,9444,3
40,1560,8,6702,1
50,2450,8,9925,1
60,3540,8,14118,1
70,4830,8,17950,1
80,6320,8,36245,2
90,8010,8,28402,1
100,9900,8,34754,1
150,22350,8,73943,1
200,39800,8,128727,1
250,62250,8,204764,1
300,89700,8,286337,1
350,122150,8,386450,1
400,159600,8,509633,1
450,202050,8,623837,1
500,249500,8,773408,1
10,90,8,14097,26
20,380,8,9322,6
30,870,8,4043,1
40,1560,8,6656,1
50,2450,8,15893,2
60,3540,8,13580,1
70,4830,8,17904,1
80,6320,8,22916,1
90,8010,8,27952,1
100,9900,8,34870,1
150,22350,8,71985,1
200,39800,8,130894,1
250,62250,8,200472,1
300,89700,8,289059,1
350,122150,8,382884,1
400,159600,8,502413,1
450,202050,8,625392,1
500,249500,8,767756,1
10,90,8,4618,8
20,380,8,8250,5
30,870,8,4140,1
40,1560,8,6568,1
50,2450,8,9895,1
60,3540,8,13553,1
70,4830,8,17773,1
80,6320,8,22422,1
90,8010,8,28477,1
100,9900,8,34631,1
150,22350,8,74107,1
200,39800,8,129028,1
250,62250,8,198650,1
300,89700,8,281441,1
350,122150,8,385650,1
400,159600,8,482589,1
450,202050,8,623120,1
500,249500,8,767244,1
10,90,8,31341,61
20,380,8,2219,1
30,870,8,4086,1
40,1560,8,10747,2
50,2450,8,9690,1
60,3540,8,13223,1
70,4830,8,17881,1
80,6320,8,23012,1
90,8010,8,28515,1
100,9900,8,33920,1
150,22350,8,74327,1
200,39800,8,127423,1
250,62250,8,199848,1
300,89700,8,286908,1
350,122150,8,382134,1
400,159600,8,491764,1
450,202050,8,627516,1
500,249500,8,770907,1
10,90,8,2481,4
20,380,8,2212,1
30,870,8,4097,1
40,1560,8,6596,1
50,2450,8,10052,1
60,3540,8,13455,1
70,4830,8,28081,2
80,6320,8,23479,1
