vertices,Edges,pathlength,time taken,iteration
10,40,8,7069,14
20,188,8,1412,1
30,458,8,2958,1
40,808,8,4500,1
50,1254,8,6437,1
60,1774,8,8547,1
70,2458,8,33697,4
80,3200,8,13739,1
90,4068,8,17022,1
100,5000,8,20771,1
150,11168,8,41932,1
200,19956,8,72643,1
250,31040,8,110715,1
300,44784,8,157441,1
350,60910,8,204919,1
400,79698,8,303545,1
450,101022,8,351083,1
500,124876,8,449115,1
10,50,8,5965,11
20,210,8,4209,3
30,452,8,5118,2
40,776,8,4654,1
50,1246,8,6916,1
60,1832,8,8949,1
70,2440,8,11972,1
80,3194,8,14198,1
90,4078,8,17208,1
100,5044,8,20896,1
150,11390,8,44943,1
200,20064,8,73808,1
250,31204,8,137743,1
300,44948,8,189331,1
350,61052,8,264949,1
400,80144,8,377174,1
450,100920,8,366367,1
500,124702,8,423624,1
10,44,8,11723,24
20,190,8,2665,2
30,442,8,2859,1
40,800,8,4514,1
50,1276,8,6478,1
60,1800,8,9111,1
70,2442,8,11684,1
80,3158,8,13964,1
90,3980,8,17961,1
100,4860,8,20533,1
150,10982,8,42176,1
200,20178,8,82580,1
250,31394,8,113064,1
300,44950,8,159207,1
350,61030,8,209410,1
400,79682,8,273479,1
450,100932,8,385592,1
500,124518,8,480403,1
10,50,8,26283,40
20,188,8,1725,1
30,410,8,5365,2
40,754,8,4841,1
50,1192,8,7427,1
60,1720,8,9877,1
70,2330,8,12634,1
80,3096,8,16383,1
90,3918,8,18850,1
100,4862,8,24175,1
150,11114,8,50234,1
200,19940,8,84809,1
250,31118,8,129223,1
300,44904,8,182839,1
350,60948,8,242448,1
400,79860,8,282987,1
450,101118,8,338201,1
500,124836,8,411777,1
10,42,8,12729,25
20,164,8,2614,2
30,416,8,2758,1
40,774,8,4473,1
50,1228,8,6356,1
60,1738,8,8759,1
70,2344,8,10703,1
80,3074,8,13737,1
90,3952,8,16670,1
100,4880,8,20047,1
150,11106,8,42702,1
200,19690,8,71488,1
250,31056,8,109600,1
300,44710,8,156785,1
350,60814,8,207109,1
400,79378,8,265493,1
450,100814,8,335431,1
500,124658,8,418831,1
10,58,8,4905,9
20,196,8,4073,3
30,462,8,3379,1
40,792,8,4550,1
