vertices,Edges,pathlength,time taken,iteration
10,24,8,120241,264
20,54,8,12318,13
30,84,8,14773,9
40,114,8,2229,1
50,144,8,7072,3
60,174,8,2798,1
70,204,8,3238,1
80,234,8,3697,1
90,264,8,4190,1
100,294,8,4887,1
150,444,8,7198,1
200,594,8,9421,1
250,744,8,11922,1
300,894,8,14069,1
350,1044,8,17984,1
400,1194,8,18903,1
450,1344,8,21109,1
500,1494,8,25097,1
10,24,8,361078,786
20,54,8,32854,35
30,84,8,1826,1
40,114,8,1844,1
50,144,8,2624,1
60,174,8,2814,1
70,204,8,4389,1
80,234,8,3706,1
90,264,8,8597,2
100,294,8,4750,1
150,444,8,7223,1
200,594,8,9873,1
250,744,8,12178,1
300,894,8,15584,1
350,1044,8,16650,1
400,1194,8,20535,1
450,1344,8,21615,1
500,1494,8,24521,1
10,24,8,1904419,4096
20,54,8,5567,6
30,84,8,9702,7
40,114,8,3877,2
50,144,8,2326,1
60,174,8,2784,1
70,204,8,3482,1
80,234,8,3982,1
90,264,8,4281,1
100,294,8,4877,1
150,444,8,7127,1
200,594,8,9722,1
250,744,8,11883,1
300,894,8,14679,1
350,1044,8,17309,1
400,1194,8,19926,1
450,1344,8,21475,1
500,1494,8,24076,1
10,24,8,205874,437
20,54,8,6466,7
30,84,8,6996,5
40,114,8,1856,1
50,144,8,2704,1
60,174,8,2768,1
70,204,8,3353,1
80,234,8,4118,1
90,264,8,4433,1
100,294,8,5118,1
150,444,8,7007,1
200,594,8,9829,1
250,744,8,12140,1
300,894,8,14429,1
350,1044,8,16848,1
400,1194,8,18606,1
450,1344,8,21213,1
500,1494,8,24899,1
10,24,8,462021,1000
20,54,8,1806,2
30,84,8,1420,1
40,114,8,1830,1
50,144,8,2493,1
60,174,8,2946,1
70,204,8,3212,1
80,234,8,7446,2
90,264,8,4400,1
100,294,8,5026,1
150,444,8,7128,1
200,594,8,9644,1
250,744,8,11854,1
300,894,8,14347,1
350,1044,8,16348,1
400,1194,8,19188,1
450,1344,8,21590,1
500,1494,8,23743,1
10,24,8,142503,309
20,54,8,3009,3
30,84,8,4592,3
40,114,8,4068,2
50,144,8,2374,1
60,174,8,2812,1
70,204,8,3445,1
80,234,8,3885,1
90,264,8,4330,1
100,294,8,4924,1
150,444,8,7020,1
200,594,8,9937,1
250,744,8,12358,1
300,894,8,14609,1
350,1044,8,17236,1
400,1194,8,19140,1
450,1344,8,21273,1
500,1494,8,24599,1
10,24,8,1714358,3701
20,54,8,1052,1
30,84,8,2766,2
40,114,8,5902,3
50,144,8,2500,1
60,174,8,3106,1
70,204,8,3203,1
80,234,8,3710,1
90,264,8,4456,1
100,294,8,4855,1
150,444,8,7157,1
200,594,8,9684,1
250,744,8,12865,1
300,894,8,14370,1
350,1044,8,16714,1
400,1194,8,18982,1
450,1344,8,21612,1
500,1494,8,23960,1
10,24,8,1880503,4096
20,54,8,6522,7
30,84,8,2711,2
40,114,8,2236,1
50,144,8,4680,2
60,174,8,2737,1
70,204,8,3214,1
80,234,8,3849,1
90,264,8,4405,1
100,294,8,4836,1
150,444,8,7094,1
200,594,8,9856,1
250,744,8,12141,1
300,894,8,14343,1
350,1044,8,16687,1
400,1194,8,18756,1
450,1344,8,21803,1
500,1494,8,24213,1
10,24,8,539887,1171
20,54,8,3060,3
30,84,8,7072,5
40,114,8,3886,2
50,144,8,2279,1
60,174,8,2819,1
70,204,8,3560,1
80,234,8,3664,1
90,264,8,4138,1
100,294,8,5788,1
150,444,8,7058,1
200,594,8,9739,1
250,744,8,12400,1
300,894,8,14497,1
350,1044,8,16833,1
400,1194,8,19258,1
450,1344,8,23044,1
500,1494,8,24238,1
10,24,8,107181,223
20,54,8,6511,7
30,84,8,17271,12
40,114,8,1935,1
50,144,8,2616,1
60,174,8,2799,1
70,204,8,3216,1
80,234,8,3725,1
90,264,8,4362,1
100,294,8,9894,2
150,444,8,7361,1
200,594,8,9484,1
250,744,8,12441,1
300,894,8,14364,1
350,1044,8,17428,1
400,1194,8,19305,1
450,1344,8,21467,1
500,1494,8,24586,1
10,24,8,887818,1949
20,54,8,24971,28
30,84,8,1370,1
40,114,8,1850,1
50,144,8,2314,1
60,174,8,2764,1
70,204,8,3509,1
80,234,8,3762,1
90,264,8,5013,1
100,294,8,4955,1
150,444,8,7066,1
200,594,8,10084,1
250,744,8,11840,1
300,894,8,14037,1
350,1044,8,16299,1
400,1194,8,19053,1
450,1344,8,20590,1
500,1494,8,23128,1
10,24,8,15592,34
20,54,8,1826,2
30,84,8,1444,1
40,114,8,1892,1
50,144,8,2334,1
60,174,8,2780,1
70,204,8,3932,1
80,234,8,3654,1
90,264,8,4300,1
100,294,8,4657,1
150,444,8,7232,1
200,594,8,9347,1
250,744,8,11913,1
300,894,8,13939,1
350,1044,8,16190,1
400,1194,8,19098,1
450,1344,8,20928,1
500,1494,8,23738,1
10,24,8,1139687,2534
20,54,8,1851,2
30,84,8,2678,2
40,114,8,1873,1
50,144,8,2292,1
60,174,8,2807,1
70,204,8,3384,1
80,234,8,3680,1
90,264,8,4158,1
100,294,8,4721,1
150,444,8,6897,1
200,594,8,9470,1
250,744,8,11825,1
300,894,8,14150,1
350,1044,8,16226,1
400,1194,8,19041,1
450,1344,8,22383,1
500,1494,8,24654,1
10,24,8,1378577,3094
20,54,8,9809,11
30,84,8,2701,2
40,114,8,7489,4
50,144,8,2214,1
60,174,8,2796,1
70,204,8,3284,1
80,234,8,3769,1
90,264,8,4086,1
100,294,8,4472,1
150,444,8,6876,1
200,594,8,9062,1
250,744,8,11502,1
300,894,8,14020,1
350,1044,8,16367,1
400,1194,8,18474,1
450,1344,8,20726,1
500,1494,8,23670,1
10,24,8,562149,1254
20,54,8,2726,3
30,84,8,4067,3
40,114,8,1906,1
50,144,8,2304,1
60,174,8,2792,1
70,204,8,3307,1
80,234,8,3759,1
90,264,8,4247,1
100,294,8,4713,1
150,444,8,6939,1
200,594,8,9257,1
250,744,8,12148,1
300,894,8,14091,1
350,1044,8,16125,1
400,1194,8,19064,1
450,1344,8,20972,1
500,1494,8,23583,1
10,24,8,1832941,4096
20,54,8,979,1
30,84,8,1361,1
40,114,8,1929,1
50,144,8,2275,1
60,174,8,2930,1
70,204,8,3305,1
80,234,8,3653,1
90,264,8,4083,1
100,294,8,4566,1
150,444,8,6995,1
200,594,8,9213,1
250,744,8,11443,1
300,894,8,14408,1
350,1044,8,16082,1
400,1194,8,18534,1
450,1344,8,20776,1
500,1494,8,22712,1
10,24,8,307599,684
20,54,8,922,1
30,84,8,2777,2
40,114,8,1873,1
50,144,8,2287,1
60,174,8,2853,1
70,204,8,3347,1
80,234,8,3808,1
90,264,8,4147,1
100,294,8,4997,1
150,444,8,7044,1
200,594,8,9248,1
250,744,8,11753,1
300,894,8,14041,1
350,1044,8,16149,1
400,1194,8,18537,1
450,1344,8,21165,1
500,1494,8,23578,1
10,24,8,1889410,4096
20,54,8,6352,7
30,84,8,2648,2
40,114,8,1907,1
50,144,8,5173,2
60,174,8,2761,1
70,204,8,3296,1
80,234,8,3803,1
90,264,8,4124,1
100,294,8,4797,1
150,444,8,6912,1
200,594,8,9305,1
