vertices,Edges,pathlength,time taken,iteration
10,24.0,8.0,800599.05,1753.85
20,54.0,8.0,6837.6,7.4
30,84.0,8.0,4616.25,3.2
40,114.0,8.0,3068.25,1.6
50,144.0,8.0,2995.55,1.25
60,174.0,8.0,2826.45,1.0
70,204.0,8.0,3419.8,1.0
80,234.0,8.0,3952.05,1.05
90,264.0,8.0,4505.25,1.05
100,294.0,8.0,5125.05,1.05
150,444.0,8.0,7070.65,1.0
200,594.0,8.0,9531.0,1.0
250,744.0,8.0,12003.5,1.0
300,894.0,8.0,14315.1,1.0
350,1044.0,8.0,16583.95,1.0
400,1194.0,8.0,19024.4,1.0
450,1344.0,8.0,21323.45,1.0
500,1494.0,8.0,23975.45,1.0
