vertices,Edges,pathlength,time taken,iteration
10,90,8,1969810,3878
20,380,8,29380,21
30,870,8,4075,1
40,1560,8,6642,1
50,2450,8,9925,1
60,3540,8,13938,1
70,4830,8,17371,1
80,6320,8,22664,1
90,8010,8,28851,1
100,9900,8,34587,1
150,22350,8,75826,1
200,39800,8,130016,1
250,62250,8,201167,1
300,89700,8,289601,1
350,122150,8,386604,1
400,159600,8,502941,1
450,202050,8,639957,1
500,249500,8,785440,1
10,90,8,38069,76
20,380,8,10361,7
30,870,8,4320,1
40,1560,8,11102,2
50,2450,8,9955,1
60,3540,8,13840,1
70,4830,8,18012,1
80,6320,8,23436,1
90,8010,8,28734,1
100,9900,8,35359,1
150,22350,8,75387,1
200,39800,8,131977,1
250,62250,8,200542,1
300,89700,8,287432,1
350,122150,8,392336,1
400,159600,8,515958,1
450,202050,8,638961,1
500,249500,8,794939,1
10,90,8,445013,867
20,380,8,27433,21
30,870,8,4144,1
40,1560,8,10968,2
50,2450,8,9905,1
60,3540,8,13817,1
70,4830,8,18389,1
80,6320,8,23337,1
90,8010,8,28667,1
100,9900,8,35740,1
150,22350,8,87973,1
200,39800,8,131262,1
250,62250,8,199619,1
300,89700,8,310569,1
350,122150,8,422489,1
400,159600,8,524638,1
450,202050,8,643571,1
500,249500,8,789157,1
10,90,8,1127768,2179
20,380,8,55739,38
30,870,8,6891,2
40,1560,8,6680,1
50,2450,8,10073,1
60,3540,8,13889,1
70,4830,8,18180,1
80,6320,8,23070,1
90,8010,8,28877,1
100,9900,8,34685,1
150,22350,8,80526,1
200,39800,8,134877,1
250,62250,8,213287,1
300,89700,8,299087,1
350,122150,8,473493,1
400,159600,8,526291,1
450,202050,8,670212,1
500,249500,8,802331,1
10,90,8,295288,584
20,380,8,2153,1
30,870,8,7350,2
40,1560,8,6800,1
50,2450,8,10144,1
60,3540,8,14126,1
70,4830,8,18339,1
80,6320,8,23834,1
90,8010,8,29164,1
100,9900,8,34938,1
150,22350,8,75972,1
200,39800,8,132371,1
250,62250,8,204632,1
300,89700,8,294849,1
350,122150,8,404001,1
400,159600,8,525458,1
450,202050,8,648400,1
500,249500,8,828494,1
10,90,8,2111740,4096
20,380,8,2950,1
30,870,8,4599,1
40,1560,8,7675,1
50,2450,8,18100,2
60,3540,8,15500,1
70,4830,8,21002,1
80,6320,8,24630,1
90,8010,8,29986,1
100,9900,8,37390,1
150,22350,8,88376,1
200,39800,8,137618,1
250,62250,8,218823,1
300,89700,8,308197,1
350,122150,8,414137,1
400,159600,8,528546,1
450,202050,8,701003,1
500,249500,8,835744,1
10,90,8,153928,306
20,380,8,11228,7
30,870,8,4394,1
40,1560,8,6946,1
50,2450,8,16739,2
60,3540,8,14327,1
70,4830,8,18292,1
80,6320,8,24012,1
90,8010,8,30751,1
100,9900,8,36239,1
150,22350,8,77598,1
200,39800,8,133920,1
250,62250,8,203190,1
300,89700,8,288783,1
350,122150,8,396663,1
400,159600,8,522987,1
450,202050,8,653166,1
500,249500,8,786757,1
10,90,8,308821,615
20,380,8,7933,5
30,870,8,12466,4
40,1560,8,6935,1
50,2450,8,10092,1
60,3540,8,14059,1
70,4830,8,18057,1
80,6320,8,23378,1
90,8010,8,29461,1
100,9900,8,35875,1
150,22350,8,76331,1
200,39800,8,132341,1
250,62250,8,203980,1
300,89700,8,296351,1
350,122150,8,398254,1
400,159600,8,514389,1
450,202050,8,649802,1
500,249500,8,791099,1
10,90,8,365799,735
20,380,8,15287,11
30,870,8,16594,5
40,1560,8,6810,1
50,2450,8,9963,1
60,3540,8,13462,1
70,4830,8,29048,2
80,6320,8,23206,1
90,8010,8,28933,1
100,9900,8,35160,1
150,22350,8,76098,1
200,39800,8,133924,1
250,62250,8,203038,1
300,89700,8,286594,1
350,122150,8,385473,1
400,159600,8,509475,1
450,202050,8,634226,1
500,249500,8,785530,1
10,90,8,25961,50
20,380,8,27458,22
30,870,8,9677,3
40,1560,8,6655,1
50,2450,8,10048,1
60,3540,8,13726,1
70,4830,8,18578,1
80,6320,8,22874,1
90,8010,8,29119,1
100,9900,8,35099,1
150,22350,8,74790,1
200,39800,8,131725,1
250,62250,8,199415,1
300,89700,8,286258,1
350,122150,8,390494,1
400,159600,8,502642,1
450,202050,8,634802,1
500,249500,8,779444,1
10,90,8,1234285,2505
20,380,8,10111,7
30,870,8,8733,3
40,1560,8,6728,1
50,2450,8,9711,1
60,3540,8,13539,1
70,4830,8,18385,1
80,6320,8,23090,1
90,8010,8,28553,1
100,9900,8,34049,1
150,22350,8,74652,1
200,39800,8,130504,1
250,62250,8,203131,1
300,89700,8,282818,1
350,122150,8,381225,1
400,159600,8,506274,1
450,202050,8,635463,1
500,249500,8,780984,1
10,90,8,79603,163
20,380,8,2207,1
30,870,8,9026,3
40,1560,8,6657,1
50,2450,8,9774,1
60,3540,8,13396,1
70,4830,8,17978,1
80,6320,8,22309,1
90,8010,8,28770,1
100,9900,8,34914,1
150,22350,8,75334,1
200,39800,8,129658,1
250,62250,8,201358,1
300,89700,8,287347,1
350,122150,8,391960,1
400,159600,8,505060,1
450,202050,8,638097,1
500,249500,8,825382,1
10,90,8,446138,908
20,380,8,24277,18
30,870,8,7158,2
40,1560,8,6496,1
50,2450,8,9986,1
60,3540,8,13676,1
70,4830,8,18172,1
80,6320,8,23059,1
90,8010,8,29213,1
100,9900,8,34767,1
150,22350,8,75305,1
200,39800,8,132799,1
250,62250,8,198755,1
300,89700,8,286749,1
350,122150,8,396528,1
