vertices,Edges,pathlength,time taken,iteration
10,48,8,334829,706
20,188,8,2610,2
30,422,8,2565,1
40,738,8,4555,1
50,1192,8,6267,1
60,1768,8,8739,1
70,2382,8,11120,1
80,3134,8,13888,1
90,3978,8,17654,1
100,4894,8,21076,1
150,11120,8,42466,1
200,19774,8,73043,1
250,31368,8,110158,1
300,45006,8,162874,1
350,61170,8,223666,1
400,79866,8,277707,1
450,101134,8,346893,1
500,124592,8,421149,1
10,38,8,1830946,3901
20,196,8,7316,6
30,448,8,3234,1
40,766,8,7972,1
50,1236,8,6816,1
60,1786,8,8260,1
70,2438,8,10517,1
80,3218,8,13923,1
90,4088,8,18281,1
100,5034,8,20843,1
150,11202,8,41958,1
200,20050,8,71943,1
250,31252,8,107750,1
300,44944,8,153621,1
350,61064,8,207254,1
400,79708,8,264130,1
450,100990,8,346544,1
500,124874,8,415343,1
10,56,8,420860,872
20,202,8,39398,31
30,434,8,5333,2
40,762,8,4396,1
50,1194,8,6235,1
60,1756,8,9727,1
70,2414,8,12212,1
80,3184,8,14924,1
90,4062,8,17426,1
100,4992,8,21269,1
150,11412,8,44612,1
200,20100,8,74391,1
250,30856,8,109706,1
300,44692,8,159532,1
350,60970,8,218753,1
400,79590,8,270817,1
450,100698,8,336222,1
500,125272,8,427347,1
10,54,8,940491,2005
20,190,8,23424,20
30,420,8,2772,1
40,760,8,7296,2
50,1216,8,6279,1
60,1730,8,8226,1
70,2338,8,10721,1
80,3048,8,13269,1
90,3898,8,16259,1
100,4832,8,19623,1
150,11016,8,40983,1
200,19600,8,68838,1
250,30806,8,106250,1
300,44896,8,152894,1
350,61044,8,202802,1
400,79768,8,265745,1
450,100918,8,328780,1
500,124342,8,407656,1
10,50,8,1896839,4096
20,190,8,3745,3
30,462,8,2647,1
40,812,8,4463,1
50,1250,8,6101,1
60,1776,8,8249,1
70,2424,8,10753,1
80,3146,8,13472,1
90,3964,8,16492,1
100,4922,8,19913,1
150,11264,8,41719,1
200,20050,8,70892,1
250,31210,8,107568,1
300,44850,8,152182,1
350,61068,8,201195,1
400,79748,8,266362,1
450,101138,8,328015,1
500,124782,8,403437,1
10,38,8,1363778,2994
20,180,8,5132,4
30,414,8,2569,1
40,766,8,4369,1
50,1230,8,6307,1
60,1740,8,8518,1
70,2386,8,10842,1
80,3136,8,13733,1
90,3990,8,16814,1
100,4924,8,20198,1
150,11208,8,42030,1
200,20060,8,70799,1
250,31194,8,107394,1
300,44752,8,153395,1
350,61352,8,207033,1
400,80090,8,267063,1
450,101294,8,334184,1
500,124966,8,409311,1
10,38,8,574601,1252
20,180,8,18846,17
30,438,8,12450,6
40,776,8,4430,1
50,1210,8,6223,1
60,1718,8,8239,1
70,2396,8,11161,1
80,3120,8,13630,1
90,3942,8,16968,1
100,4872,8,19823,1
150,11188,8,41729,1
200,20020,8,72016,1
250,31270,8,108646,1
300,45178,8,152422,1
350,61212,8,207183,1
400,79874,8,267926,1
450,101166,8,335378,1
500,124042,8,408334,1
10,52,8,850613,1811
20,192,8,60237,55
30,426,8,12561,6
40,742,8,4251,1
50,1198,8,6239,1
60,1756,8,8484,1
70,2410,8,10837,1
80,3178,8,13884,1
90,4040,8,17380,1
100,4990,8,20332,1
150,11108,8,41547,1
200,19902,8,70571,1
250,31076,8,107466,1
300,44640,8,152851,1
350,61604,8,207251,1
400,80278,8,268872,1
450,101538,8,349251,1
500,125082,8,411904,1
10,46,8,20581,43
20,192,8,1541,1
30,426,8,2539,1
40,778,8,4452,1
50,1228,8,6295,1
60,1762,8,8383,1
70,2404,8,11357,1
80,3136,8,13719,1
90,3988,8,16854,1
100,4968,8,20315,1
150,11178,8,41847,1
200,20028,8,73353,1
250,31372,8,108588,1
300,45078,8,154026,1
350,61094,8,205146,1
400,79872,8,266179,1
450,101170,8,333036,1
500,124774,8,399345,1
10,48,8,757048,1618
20,204,8,22925,19
30,442,8,4839,2
40,812,8,4466,1
50,1266,8,6302,1
60,1782,8,8483,1
70,2468,8,11154,1
80,3192,8,13938,1
90,4022,8,16991,1
100,4912,8,20223,1
150,11030,8,41812,1
200,19688,8,70724,1
250,31056,8,112131,1
300,44852,8,161981,1
350,61218,8,205999,1
