vertices,Edges,pathlength,time taken,iteration
10,47.1,8.0,772360.65,1664.75
20,192.0,8.0,12965.85,10.9
30,434.9,8.0,4788.3,2.0
40,780.2,8.0,5361.7,1.25
50,1226.1,8.0,6502.95,1.05
60,1761.0,8.0,9325.05,1.15
70,2406.4,8.0,10979.15,1.0
80,3156.2,8.0,13796.95,1.0
90,3998.1,8.0,17000.65,1.0
100,4941.1,8.0,20300.6,1.0
150,11183.3,8.0,41926.0,1.0
200,19919.0,8.0,71328.15,1.0
250,31136.3,8.0,108371.8,1.0
300,44890.5,8.0,154086.2,1.0
350,61107.4,8.0,207692.6,1.0
400,79797.0,8.0,266735.9,1.0
450,101085.0,8.0,335970.1,1.0
500,124767.5,8.0,409784.45,1.0
