vertices,Edges,pathlength,time taken,iteration
10,90,8,971,1
20,380,8,2464,1
30,870,8,4995,1
40,1560,8,7283,1
50,2450,8,10514,1
60,3540,8,14626,1
70,4830,8,20127,1
80,6320,8,23363,1
90,8010,8,28694,1
100,9900,8,35574,1
150,22350,8,73236,1
200,39800,8,124311,1
250,62250,8,192324,1
300,89700,8,267780,1
350,122150,8,367393,1
400,159600,8,480899,1
450,202050,8,592168,1
500,249500,8,728548,1
10,90,8,965,1
20,380,8,2731,1
30,870,8,4539,1
40,1560,8,7315,1
50,2450,8,10856,1
60,3540,8,15625,1
70,4830,8,19368,1
80,6320,8,23632,1
90,8010,8,29638,1
100,9900,8,35216,1
150,22350,8,73230,1
200,39800,8,126007,1
250,62250,8,188922,1
300,89700,8,270439,1
350,122150,8,362697,1
400,159600,8,495974,1
450,202050,8,604201,1
500,249500,8,725764,1
10,90,8,937,1
20,380,8,2445,1
30,870,8,4647,1
40,1560,8,7448,1
50,2450,8,10723,1
60,3540,8,15582,1
70,4830,8,18914,1
80,6320,8,24110,1
90,8010,8,30178,1
100,9900,8,35329,1
150,22350,8,73487,1
200,39800,8,124679,1
250,62250,8,194296,1
300,89700,8,269499,1
350,122150,8,364350,1
400,159600,8,469354,1
450,202050,8,585499,1
500,249500,8,720800,1
10,90,8,938,1
20,380,8,2611,1
30,870,8,4539,1
40,1560,8,7267,1
50,2450,8,10552,1
60,3540,8,14513,1
70,4830,8,18830,1
80,6320,8,23761,1
90,8010,8,29579,1
100,9900,8,35035,1
150,22350,8,73463,1
200,39800,8,124866,1
250,62250,8,190251,1
300,89700,8,268884,1
350,122150,8,362917,1
400,159600,8,457030,1
450,202050,8,576665,1
500,249500,8,701196,1
10,90,8,972,1
20,380,8,2484,1
30,870,8,4623,1
40,1560,8,7327,1
50,2450,8,10403,1
60,3540,8,14347,1
70,4830,8,18716,1
80,6320,8,23273,1
90,8010,8,28376,1
100,9900,8,34105,1
150,22350,8,71220,1
200,39800,8,121832,1
250,62250,8,186579,1
300,89700,8,263932,1
350,122150,8,352828,1
400,159600,8,459025,1
450,202050,8,574391,1
500,249500,8,710902,1
10,90,8,958,1
20,380,8,2459,1
30,870,8,4550,1
40,1560,8,7147,1
50,2450,8,10285,1
60,3540,8,14415,1
70,4830,8,18284,1
80,6320,8,25060,1
90,8010,8,30791,1
100,9900,8,40846,1
150,22350,8,76184,1
200,39800,8,122114,1
250,62250,8,185781,1
300,89700,8,261932,1
350,122150,8,353257,1
400,159600,8,455300,1
450,202050,8,572330,1
500,249500,8,705176,1
10,90,8,948,1
20,380,8,2463,1
30,870,8,4548,1
40,1560,8,7171,1
50,2450,8,10341,1
60,3540,8,14650,1
70,4830,8,18327,1
80,6320,8,23125,1
90,8010,8,28248,1
100,9900,8,34075,1
150,22350,8,71624,1
200,39800,8,122227,1
250,62250,8,185282,1
300,89700,8,266274,1
350,122150,8,353360,1
400,159600,8,460660,1
450,202050,8,572870,1
500,249500,8,702098,1
10,90,8,980,1
20,380,8,2471,1
30,870,8,4802,1
40,1560,8,7168,1
50,2450,8,10393,1
60,3540,8,14098,1
70,4830,8,18296,1
80,6320,8,23112,1
90,8010,8,28830,1
100,9900,8,34296,1
150,22350,8,71375,1
200,39800,8,123161,1
250,62250,8,185144,1
300,89700,8,258045,1
350,122150,8,347069,1
400,159600,8,449007,1
450,202050,8,566005,1
500,249500,8,693782,1
10,90,8,991,1
20,380,8,2446,1
30,870,8,4543,1
40,1560,8,7190,1
50,2450,8,10855,1
60,3540,8,14094,1
70,4830,8,18747,1
80,6320,8,23054,1
90,8010,8,28213,1
100,9900,8,34141,1
150,22350,8,71041,1
200,39800,8,121441,1
250,62250,8,184731,1
300,89700,8,258628,1
350,122150,8,349689,1
400,159600,8,453056,1
450,202050,8,567177,1
500,249500,8,694855,1
10,90,8,969,1
20,380,8,2515,1
30,870,8,4531,1
40,1560,8,7157,1
50,2450,8,10541,1
60,3540,8,14257,1
70,4830,8,18463,1
80,6320,8,23635,1
90,8010,8,29146,1
100,9900,8,34316,1
150,22350,8,71110,1
200,39800,8,121367,1
250,62250,8,183964,1
300,89700,8,260925,1
350,122150,8,350829,1
400,159600,8,446915,1
450,202050,8,562812,1
500,249500,8,695203,1
10,90,8,979,1
20,380,8,2453,1
30,870,8,4546,1
40,1560,8,7168,1
50,2450,8,10328,1
60,3540,8,14011,1
70,4830,8,18275,1
80,6320,8,23124,1
90,8010,8,28469,1
100,9900,8,33992,1
150,22350,8,71830,1
200,39800,8,121196,1
250,62250,8,183811,1
300,89700,8,261325,1
350,122150,8,350561,1
400,159600,8,454040,1
450,202050,8,567000,1
500,249500,8,690659,1
10,90,8,961,1
20,380,8,2449,1
30,870,8,4525,1
40,1560,8,7161,1
50,2450,8,11195,1
60,3540,8,14027,1
70,4830,8,18313,1
80,6320,8,23109,1
90,8010,8,28614,1
100,9900,8,34588,1
150,22350,8,71555,1
200,39800,8,121897,1
250,62250,8,185383,1
300,89700,8,261546,1
350,122150,8,349185,1
400,159600,8,451655,1
450,202050,8,563142,1
500,249500,8,747067,1
10,90,8,956,1
20,380,8,2490,1
30,870,8,4892,1
40,1560,8,7352,1
50,2450,8,10386,1
60,3540,8,14085,1
70,4830,8,18463,1
80,6320,8,23063,1
90,8010,8,28416,1
100,9900,8,34102,1
150,22350,8,72300,1
200,39800,8,123317,1
250,62250,8,188009,1
300,89700,8,263502,1
350,122150,8,351287,1
400,159600,8,450537,1
450,202050,8,569717,1
500,249500,8,692557,1
10,90,8,951,1
20,380,8,2488,1
30,870,8,4520,1
40,1560,8,7198,1
50,2450,8,10567,1
60,3540,8,14409,1
70,4830,8,18424,1
80,6320,8,23108,1
90,8010,8,28294,1
100,9900,8,34211,1
150,22350,8,71844,1
200,39800,8,122679,1
250,62250,8,184579,1
300,89700,8,261522,1
350,122150,8,352149,1
400,159600,8,465888,1
450,202050,8,565377,1
500,249500,8,693330,1
10,90,8,963,1
20,380,8,2485,1
30,870,8,4555,1
40,1560,8,7169,1
50,2450,8,10300,1
60,3540,8,14024,1
70,4830,8,19114,1
80,6320,8,23041,1
90,8010,8,28638,1
100,9900,8,34421,1
150,22350,8,72230,1
200,39800,8,122158,1
