vertices,Edges,pathlength,time taken,iteration
10,90.0,8.0,964.05,1.0
20,380.0,8.0,2485.5,1.0
30,870.0,8.0,4613.75,1.0
40,1560.0,8.0,7215.95,1.0
50,2450.0,8.0,10523.6,1.0
60,3540.0,8.0,14489.15,1.0
70,4830.0,8.0,18755.0,1.0
80,6320.0,8.0,23413.55,1.0
90,8010.0,8.0,28831.2,1.0
100,9900.0,8.0,34782.75,1.0
150,22350.0,8.0,72184.85,1.0
200,39800.0,8.0,122597.85,1.0
250,62250.0,8.0,186467.15,1.0
300,89700.0,8.0,263683.0,1.0
350,122150.0,8.0,354335.0,1.0
400,159600.0,8.0,459614.95,1.0
450,202050.0,8.0,572023.45,1.0
500,249500.0,8.0,704163.5,1.0
