vertices,Edges,pathlength,time taken,iteration
10,60,8,859,1
20,184,8,2296,1
30,426,8,3519,1
40,764,8,5414,1
50,1182,8,7269,1
60,1740,8,10085,1
70,2334,8,12918,1
80,3108,8,15963,1
90,3968,8,19496,1
100,4942,8,23806,1
150,11072,8,54083,1
200,19596,8,80133,1
250,30836,8,119508,1
300,44638,8,176455,1
350,61078,8,226098,1
400,79786,8,289537,1
450,100954,8,371397,1
500,124626,8,443957,1
10,40,8,622,1
20,174,8,1869,1
30,416,8,3289,1
40,774,8,5297,1
50,1244,8,7318,1
60,1764,8,9665,1
70,2392,8,12373,1
80,3136,8,15258,1
90,3964,8,18584,1
100,4890,8,22080,1
150,11038,8,45342,1
200,19594,8,75844,1
250,30892,8,116080,1
300,44542,8,162579,1
350,60644,8,218474,1
400,79956,8,292378,1
450,101142,8,355253,1
500,124884,8,432847,1
10,40,8,646,1
20,186,8,2168,1
30,446,8,3557,1
40,814,8,5318,1
50,1280,8,7427,1
60,1850,8,9977,1
70,2498,8,12737,1
80,3238,8,15867,1
90,4052,8,19033,1
100,4980,8,22650,1
150,11218,8,45558,1
200,19828,8,76777,1
250,31002,8,115487,1
300,44564,8,163720,1
350,60666,8,217826,1
400,79464,8,281488,1
450,101072,8,354714,1
500,124672,8,434353,1
10,48,8,692,1
20,196,8,1974,1
30,446,8,3414,1
40,808,8,5262,1
50,1270,8,7394,1
60,1816,8,9777,1
70,2464,8,12666,1
80,3246,8,15646,1
90,4106,8,19354,1
100,5054,8,22748,1
150,11354,8,45917,1
200,20066,8,77737,1
250,31268,8,115984,1
300,45226,8,165452,1
350,61488,8,219812,1
400,80450,8,286324,1
450,101068,8,350317,1
500,124800,8,427315,1
10,48,8,770,1
20,174,8,1906,1
30,396,8,3320,1
40,754,8,5154,1
50,1178,8,7174,1
60,1678,8,9781,1
70,2330,8,12130,1
80,3096,8,15173,1
90,3982,8,19188,1
100,4900,8,22270,1
150,11028,8,45151,1
200,19752,8,76348,1
250,30788,8,115205,1
300,44636,8,163241,1
350,60876,8,217830,1
400,79542,8,282095,1
450,101020,8,356927,1
500,124766,8,432597,1
10,66,8,819,1
20,216,8,2052,1
30,466,8,3556,1
40,800,8,5262,1
50,1278,8,7507,1
60,1802,8,9830,1
70,2436,8,12550,1
80,3154,8,15470,1
90,3990,8,18697,1
100,5004,8,22476,1
150,11160,8,45848,1
200,19672,8,77419,1
250,30890,8,116435,1
300,44540,8,186055,1
350,60550,8,235006,1
400,79494,8,276585,1
450,100694,8,349471,1
500,125102,8,431886,1
10,40,8,561,1
20,186,8,1894,1
30,418,8,3368,1
40,774,8,5096,1
50,1218,8,7154,1
60,1786,8,9939,1
70,2412,8,12410,1
80,3170,8,15446,1
90,4008,8,19230,1
100,4974,8,22510,1
150,11070,8,45168,1
200,19848,8,76560,1
250,31176,8,117822,1
300,45028,8,165066,1
350,61008,8,219074,1
400,79874,8,281750,1
450,101144,8,354737,1
500,124098,8,427770,1
10,42,8,619,1
20,194,8,1921,1
30,458,8,3507,1
40,772,8,5131,1
50,1258,8,7391,1
60,1788,8,9868,1
70,2416,8,12471,1
80,3162,8,15495,1
90,3976,8,18895,1
100,4912,8,22214,1
150,11130,8,46282,1
200,19716,8,76197,1
250,30772,8,114728,1
300,44698,8,161692,1
350,61004,8,217174,1
400,79792,8,281039,1
450,100986,8,351921,1
500,125492,8,433835,1
10,48,8,893,1
20,192,8,1998,1
30,436,8,3481,1
40,758,8,5288,1
50,1172,8,7268,1
60,1716,8,9529,1
70,2404,8,12397,1
80,3150,8,15450,1
90,4016,8,19210,1
100,4930,8,22348,1
150,11184,8,45735,1
200,20072,8,77293,1
250,31336,8,116498,1
300,45346,8,164655,1
350,60718,8,216662,1
400,79494,8,276907,1
450,100792,8,349845,1
500,124478,8,426760,1
10,48,8,618,1
20,194,8,1934,1
30,462,8,3508,1
40,812,8,5227,1
50,1274,8,7469,1
60,1808,8,9810,1
70,2476,8,12597,1
80,3250,8,15640,1
90,4094,8,19427,1
100,5022,8,22722,1
150,11354,8,46383,1
200,20056,8,77667,1
250,31132,8,116809,1
300,44924,8,163891,1
350,61140,8,218516,1
400,79886,8,280442,1
450,101188,8,352081,1
500,124898,8,433820,1
10,52,8,750,1
20,178,8,1836,1
30,398,8,3245,1
40,758,8,5124,1
50,1180,8,7102,1
60,1708,8,9453,1
70,2358,8,12173,1
80,3086,8,15030,1
90,3958,8,18670,1
100,4898,8,22760,1
150,11246,8,45615,1
200,19874,8,76201,1
250,31220,8,116004,1
300,44974,8,163493,1
350,61030,8,217423,1
400,80356,8,282298,1
450,101420,8,356250,1
500,125062,8,430683,1
10,42,8,675,1
20,186,8,1952,1
