vertices,Edges,pathlength,time taken,iteration
10,24.0,8.0,496.55,1.0
20,54.0,8.0,1049.3,1.0
30,84.0,8.0,1745.05,1.0
40,114.0,8.0,2240.2,1.0
50,144.0,8.0,2847.9,1.0
60,174.0,8.0,3326.6,1.0
70,204.0,8.0,3969.5,1.0
80,234.0,8.0,4619.75,1.0
90,264.0,8.0,5160.5,1.0
100,294.0,8.0,5610.45,1.0
150,444.0,8.0,8490.75,1.0
200,594.0,8.0,11309.9,1.0
250,744.0,8.0,14466.1,1.0
300,894.0,8.0,16999.0,1.0
350,1044.0,8.0,20067.7,1.0
400,1194.0,8.0,22869.6,1.0
450,1344.0,8.0,25478.6,1.0
500,1494.0,8.0,28587.55,1.0
