vertices,Edges,pathlength,time taken,iteration
10,90,8,779,1
20,380,8,2118,1
30,870,8,4100,1
40,1560,8,6448,1
50,2450,8,9635,1
60,3540,8,12889,1
70,4830,8,16927,1
80,6320,8,23607,1
90,8010,8,26301,1
100,9900,8,32039,1
150,22350,8,70340,1
200,39800,8,115768,1
250,62250,8,182880,1
300,89700,8,257010,1
350,122150,8,353394,1
400,159600,8,454107,1
450,202050,8,561914,1
500,249500,8,680591,1
10,90,8,748,1
20,380,8,2137,1
30,870,8,3956,1
40,1560,8,7010,1
50,2450,8,9446,1
60,3540,8,12795,1
70,4830,8,16993,1
80,6320,8,21209,1
90,8010,8,26599,1
100,9900,8,31927,1
150,22350,8,67786,1
200,39800,8,116317,1
250,62250,8,178938,1
300,89700,8,257258,1
350,122150,8,344207,1
400,159600,8,445160,1
450,202050,8,559797,1
500,249500,8,685184,1
10,90,8,801,1
20,380,8,2029,1
30,870,8,4147,1
40,1560,8,6633,1
50,2450,8,9335,1
60,3540,8,13182,1
70,4830,8,16788,1
80,6320,8,21246,1
90,8010,8,26504,1
100,9900,8,31966,1
150,22350,8,67760,1
200,39800,8,116756,1
250,62250,8,177793,1
300,89700,8,252966,1
350,122150,8,344864,1
400,159600,8,448002,1
450,202050,8,558890,1
500,249500,8,682968,1
10,90,8,836,1
20,380,8,2086,1
30,870,8,3952,1
40,1560,8,6519,1
50,2450,8,9445,1
60,3540,8,13147,1
70,4830,8,16879,1
80,6320,8,21604,1
90,8010,8,26267,1
100,9900,8,32191,1
150,22350,8,67481,1
200,39800,8,116279,1
250,62250,8,177634,1
300,89700,8,251690,1
350,122150,8,342501,1
400,159600,8,449708,1
450,202050,8,566603,1
500,249500,8,684187,1
10,90,8,761,1
20,380,8,2183,1
30,870,8,4143,1
40,1560,8,6725,1
50,2450,8,9479,1
60,3540,8,12910,1
70,4830,8,17322,1
80,6320,8,22115,1
90,8010,8,26305,1
100,9900,8,31614,1
150,22350,8,67299,1
200,39800,8,116617,1
250,62250,8,185535,1
300,89700,8,252355,1
350,122150,8,343802,1
400,159600,8,443116,1
450,202050,8,555800,1
500,249500,8,684506,1
10,90,8,745,1
20,380,8,2075,1
30,870,8,3946,1
40,1560,8,6381,1
50,2450,8,9269,1
60,3540,8,13442,1
70,4830,8,16724,1
80,6320,8,21496,1
90,8010,8,26558,1
100,9900,8,31916,1
150,22350,8,66941,1
200,39800,8,115160,1
250,62250,8,177394,1
300,89700,8,252817,1
350,122150,8,340980,1
400,159600,8,444705,1
450,202050,8,558663,1
500,249500,8,685333,1
10,90,8,799,1
20,380,8,2093,1
30,870,8,3971,1
40,1560,8,6371,1
50,2450,8,9433,1
60,3540,8,12990,1
70,4830,8,16768,1
80,6320,8,21137,1
90,8010,8,26220,1
100,9900,8,31649,1
150,22350,8,67288,1
200,39800,8,116199,1
250,62250,8,177448,1
300,89700,8,255963,1
350,122150,8,343996,1
400,159600,8,445551,1
450,202050,8,559500,1
500,249500,8,685679,1
10,90,8,765,1
20,380,8,2079,1
30,870,8,3977,1
40,1560,8,6386,1
50,2450,8,9485,1
60,3540,8,12844,1
70,4830,8,16766,1
80,6320,8,21215,1
90,8010,8,26422,1
100,9900,8,31866,1
150,22350,8,66658,1
200,39800,8,117725,1
250,62250,8,177784,1
300,89700,8,251937,1
350,122150,8,341267,1
400,159600,8,446255,1
450,202050,8,560740,1
500,249500,8,685944,1
10,90,8,747,1
20,380,8,2140,1
30,870,8,3958,1
40,1560,8,6640,1
50,2450,8,9627,1
60,3540,8,12796,1
70,4830,8,16814,1
80,6320,8,21228,1
90,8010,8,26094,1
100,9900,8,31778,1
150,22350,8,67371,1
200,39800,8,116607,1
250,62250,8,180141,1
300,89700,8,252396,1
350,122150,8,341800,1
400,159600,8,443774,1
450,202050,8,557973,1
500,249500,8,684555,1
10,90,8,748,1
20,380,8,2078,1
30,870,8,4004,1
40,1560,8,6402,1
50,2450,8,9280,1
60,3540,8,12972,1
70,4830,8,16907,1
80,6320,8,21143,1
90,8010,8,26328,1
100,9900,8,31859,1
150,22350,8,67078,1
200,39800,8,117065,1
250,62250,8,179773,1
300,89700,8,250626,1
