vertices,Edges,pathlength,time taken,iteration
10,90.0,8.0,790.9,1.0
20,380.0,8.0,2146.2,1.0
30,870.0,8.0,4015.85,1.0
40,1560.0,8.0,6510.6,1.0
50,2450.0,8.0,9395.45,1.0
60,3540.0,8.0,12980.1,1.0
70,4830.0,8.0,16950.55,1.0
80,6320.0,8.0,21416.95,1.0
90,8010.0,8.0,26339.05,1.0
100,9900.0,8.0,31834.35,1.0
150,22350.0,8.0,67476.15,1.0
200,39800.0,8.0,116003.7,1.0
250,62250.0,8.0,178551.8,1.0
300,89700.0,8.0,253263.9,1.0
350,122150.0,8.0,344644.2,1.0
400,159600.0,8.0,444478.8,1.0
450,202050.0,8.0,556850.7,1.0
500,249500.0,8.0,682763.3,1.0
